	WT_1	WT_2	XistKO_1	XistKO_2
Pdc	5	4	6	0
Iqsec3	12	10	15	14
Ott	0	0	0	0
Atxn1	2762	2905	4691	4385
Prkcsh	117	76	86	44
Dsg4	0	1	0	0
Dhx37	35	29	29	18
Cnot6l	7705	9526	7847	8488
Sntg2	0	0	0	0
Map4k3	3853	4028	6287	5959
Vps54	9130	9519	9816	9032
Jph2	0	0	0	0
Tmem201	60	43	70	38
Mir1902	0	0	0	0
Gjc1	1192	1050	1300	1006
Olfr1307	0	0	0	0
Cnot9	3557	2746	4699	3496
Uxt	142	96	162	92
Nagk	79	58	140	54
Dtd1	180	209	79	70
3830408C21Rik	47	54	71	40
9430038I01Rik	119	147	181	136
Cxxc1	113	148	249	83
Hgsnat	429	351	416	274
Gm5334	0	0	0	0
Gm6578	0	0	0	0
Strada	112	127	155	73
1700042G15Rik	0	0	0	0
Mir6348	0	0	0	0
Mir6341	0	0	0	0
Epha8	0	0	0	0
Gcm1	30	34	35	26
Psg23	2	2	1	0
Morn3	0	0	0	0
Rad51ap1	1712	1540	2329	2103
Tdpoz5	0	0	0	0
A230056J06Rik	1	1	0	0
Cluh	96	81	157	29
4933432I09Rik	1	0	0	0
4930527F14Rik	0	0	0	1
Ggta1	7339	6665	4637	3916
Fhit	0	0	0	0
Apoc2	0	0	0	0
Olfr48	0	0	0	0
Olfr263	0	0	0	0
Olfr32	0	0	0	0
Olfr23	0	0	0	0
Klk8	0	0	0	0
Prss12	3	1	3	4
Klhl5	3727	3904	3894	3717
Cd37	0	0	0	0
Arhgef10l	104	121	18	17
Mir7116	2	5	16	9
LOC105246506	0	0	0	0
Snord35a	4	1	2	0
Mir320	0	0	0	0
Plk4	13681	14121	15699	14370
Mir5100	0	1	1	0
Evx1os	0	0	0	0
1600020E01Rik	313	276	419	248
Nlrp1b	0	0	0	0
Gm14326	901	804	1006	819
Ppp1r12b	838	815	879	555
Kynu	14	11	19	10
Fxyd5	32	28	26	12
Ift20	375	365	515	398
Rplp1	1776	1658	2655	938
A330074K22Rik	4	0	9	0
Irf5	69	47	58	21
Sctr	0	0	0	0
Hey1	43	24	12	13
Mrto4	984	564	1325	640
4921524J17Rik	3205	3452	3395	3523
Pbx2	751	814	1173	952
Fkbp3	21270	20471	28179	23488
A730085K08Rik	0	0	0	0
Spef2	0	1	0	0
Coch	29	17	2	1
Flt3	0	0	0	0
Gm10432	82	117	126	122
Ctsm	0	0	0	0
Hps3	1443	1349	1785	1590
Efcc1	12	15	20	3
Zf12	0	0	0	0
2310034C09Rik	0	0	0	0
Zfp420	474	527	391	404
Paxx	1	0	2	0
Scara3	0	2	0	0
Rab2b	191	191	276	199
Tmem260	409	413	880	800
Dipk1c	0	0	1	1
Slc12a6	1249	1195	2163	1971
Lysmd1	48	42	48	27
Plekho2	194	144	185	153
9530068E07Rik	3539	3098	3583	2409
Rrbp1	1200	888	1555	715
Defb8	0	0	0	0
Cpz	0	0	0	0
Ntng1	2	2	2	3
Grip1	13	24	11	11
Cldn19	0	0	0	0
Dph1	47	32	33	12
Pax4	0	0	0	0
Coa7	116	129	199	134
Trub1	683	630	590	531
Ctbp2	6246	7008	7927	7963
Bahcc1	156	227	205	160
Adck5	3	2	8	2
Mir1a-1hg	18	24	22	20
Kazn	0	0	3	4
Endou	1	1	0	2
Hsph1	3797	3496	5664	4104
Esp6	32	39	30	42
Shisa9	0	0	0	0
4930579P08Rik	0	0	0	0
Mir669l	14	9	3	6
Bcl2	2991	2951	2748	2502
Gzmg	0	0	0	0
Gzmf	0	0	0	0
Mepce	108	81	143	49
Cstl1	1	0	1	0
Dolk	283	229	299	146
Crb3	0	3	0	0
Ubxn7	17557	17411	21192	20625
Cited1	0	0	0	0
Gapdhs	0	0	0	0
Ptpn20	0	0	0	0
Sat1	2223	1928	5749	4351
Sar1a	5394	4498	5637	3938
Spink1	0	0	0	0
6430710C18Rik	0	0	0	0
Dact1	256	217	253	269
Dctn2	525	505	709	250
4930512J16Rik	0	0	0	0
1700116B05Rik	0	0	0	0
Gm6370	0	0	0	0
Ppp1r1c	1	0	2	0
3930402G23Rik	2	4	0	0
Ccdc91	214	149	317	199
Riox2	817	674	1441	1115
Sycp2	11	23	103	82
Fam214b	26	31	62	42
Zcchc17	503	374	603	359
Epha10	0	0	0	0
Tfdp2	3912	3850	3558	2941
Mei4	118	130	34	25
A530088E08Rik	0	0	0	0
Mccc1os	111	131	117	83
1700028D13Rik	0	0	0	0
Particl	26	30	58	22
Tex26	20	19	19	18
Col13a1	0	0	0	0
Jpt2	6099	5705	8338	6274
Zfp871	12927	13767	12418	12492
Chst14	167	185	232	153
Hdac8	110	89	158	69
Gimd1	0	0	0	0
Slc12a8	12	22	24	11
Bace2	8	7	0	0
Gm17750	0	0	0	0
1700109G15Rik	0	0	0	0
Zan	0	1	0	0
Rln1	0	1	0	0
Rnase1	0	0	0	0
Rhd	4	4	0	0
Yif1b	6	8	4	1
Echdc2	143	150	45	12
AI837181	7	7	8	5
Agap3	83	88	144	51
Adam7	0	0	0	0
Alx4	80	113	100	73
Alx3	0	0	0	0
Rsph1	0	0	0	0
Tbrg1	1710	1869	2522	1061
Stfa3	0	0	0	0
Stmn2	5	5	0	0
Gramd1a	53	39	29	21
Rin2	452	387	783	733
Rhpn2	101	119	28	31
Ube2v1	364	259	465	241
Cblc	0	0	0	0
Ppp3r1	15939	15870	21132	20225
Rap1b	27378	27788	30941	30310
Mir1188	0	0	0	0
Vmn2r57	3	0	1	1
Cdkl2	1098	1009	2233	1885
D930007P13Rik	1	2	0	1
Gm22291	0	0	0	0
Abcf2	979	879	1787	590
4930522H14Rik	0	1	0	0
Gm10373	12	22	13	6
Gm4070	0	0	0	0
Stra6l	0	0	0	0
Nrep	450	413	286	254
Slc45a2	0	0	0	0
Dock8	140	110	709	474
Nme2	11759	12626	19578	8814
Sirpb1c	0	0	0	0
Serpina3a	0	0	0	0
Gm19710	7	7	1	2
9330102E08Rik	11	5	3	0
Gm38397	16	6	5	4
Ss18	8525	7836	10262	9323
Galnt6	0	0	0	0
Slc4a5	0	0	2	1
Fzd4	258	232	186	137
Fgf4	0	0	0	0
Il11ra1	86	48	74	25
Il10	0	0	0	0
4921531C22Rik	79	87	132	109
Btbd35f4	0	0	0	0
Wwtr1	11765	12794	17890	16287
Pnmt	0	0	0	0
Ppp1r14b	1271	845	1496	1052
Pcbp4	29	31	54	15
Mef2d	165	214	342	217
4930442L01Rik	0	0	0	0
Gm2837	0	0	0	0
Mir767	0	0	0	0
A730090N16Rik	69	80	92	55
Zik1	3964	3826	2888	2900
Mir2137	0	0	0	0
Mir2136	0	0	0	0
1700063D05Rik	22	19	35	19
Nbeal1	17824	18780	20667	20498
Gm29776	0	0	0	0
Adamts1	5976	5877	1859	1749
Adam3	0	0	0	0
Skint2	0	0	0	0
Cd48	0	0	0	0
Cd3e	0	0	0	0
Entpd5	735	715	889	716
Cd38	643	688	1127	1085
Ifrd2	171	181	341	187
Mef2c	434	418	36	22
Hsf1	61	64	80	40
Zeb1	2025	1868	2121	1807
E130201H02Rik	0	1	0	0
4930426L09Rik	52	43	49	37
Synj2bp	12067	12967	18682	18411
1700120G07Rik	0	0	0	0
Gm29687	0	0	0	0
Gm6961	0	0	0	0
Pmm2	834	728	1496	974
Gm10654	0	0	1	1
1190028D05Rik	0	0	0	0
Gm38414	2	1	0	0
Sec14l4	0	0	0	0
Dnttip2	10174	10329	14125	10983
Pkn3	11	13	30	8
Eif3b	1515	1073	1768	996
Olfr722	0	0	0	0
Slc5a3	46801	50564	68585	70175
Ear14	0	0	0	0
Ear3	0	0	0	0
Rhox9	0	0	0	0
Dgcr6	25	21	27	10
Dgat1	65	40	76	37
Rdh12	5	2	4	0
Pcyt1a	1982	1560	2396	2104
Col4a2	450	401	259	95
Cxcl15	8	8	20	7
Ldb3	81	92	67	56
Xrn1	10539	10814	10366	10214
Defa-ps13	0	0	0	0
Gm21944	0	0	0	0
Defb44-ps	0	0	0	0
Snord82	124	136	247	160
Olfr961	0	0	0	0
Olfr328	0	0	0	0
Olfr318	0	0	0	0
Olfr319	0	0	0	0
Pck2	87	124	178	144
Babam1	125	95	164	51
Gm20826	0	0	0	0
Ifit1bl1	16	13	10	13
Camp	0	0	0	0
Mrps16	98	69	206	68
Rps6kb2	15	3	14	3
Shld2	948	848	1821	1549
Col4a1	6923	6409	3204	2460
4930432L08Rik	0	1	0	0
Flad1	15	16	28	10
Mir6367	0	0	0	0
Gm11559	0	2	0	0
Mroh4	0	0	0	0
Aifm1	2698	2644	3210	2112
Cfap46	21	16	12	15
Dnal1	967	975	1033	855
Smim27	63	72	87	41
Bach1	5760	5761	8780	8471
Hebp1	469	568	541	431
Erv3	1	4	5	3
Lce6a	1	0	0	0
Ccdc74a	22	30	86	58
Syde2	2575	2938	2395	2346
Nrd1	3809	3186	4681	3552
Ear7	0	0	0	0
Eif4g2	93668	95786	87136	81268
Otp	0	0	0	0
Hspa4l	13829	12463	16340	15655
Best1	0	0	0	0
Cpsf4l	0	0	0	0
Ceacam-ps1	0	0	0	0
2210408I21Rik	1089	1170	1063	995
Rasa3	1337	1335	4293	2983
Mir3108	6	8	1	2
Mir3074-2	0	0	0	0
Mcpt8	25	28	1167	538
Vmn1r68	0	0	0	0
Tspan32	0	0	0	0
Vps37a	12071	12180	11121	10854
Mir7015	0	0	0	0
9430021M05Rik	0	0	0	0
Olfr1285	0	0	0	0
Caprin2	415	366	756	614
Ptk2	7134	6437	7041	5808
Map4k2	148	163	194	195
Pspn	1	0	3	0
Pipox	0	0	0	0
Csf2rb2	41	32	44	43
Csf2rb	3	2	0	1
Gm5294	0	0	0	0
Limk1	42	28	104	41
Nbas	1115	1034	922	621
Gm10436	0	0	0	0
Asic2	0	0	0	0
4932438A13Rik	8557	9329	8390	7645
Ifi206	0	0	0	0
Vangl2	380	402	397	308
Pex16	3	2	2	1
Eef1d	871	877	1527	480
Agbl3	487	574	855	755
Mrpl13	1932	1575	2167	1152
Uchl4	24	36	47	27
Mir6388	0	0	0	0
Mir6387	0	0	0	0
Mir466n	0	0	0	0
Nfia	986	1412	1090	1073
Hoxa10	40	46	0	1
Dazap1	2755	3243	4346	3682
Tbrg4	145	88	190	98
Ythdf3	32721	36156	36946	39346
Gse1	106	149	95	112
Kctd10	4520	3544	3489	3141
Gm15097	0	0	0	0
Zfp942	7509	8740	8876	9440
Gm15080	0	0	0	0
Nt5c1a	0	0	0	0
Dcdc2b	4	1	4	2
Tmem150b	1	0	0	0
Mindy4	68	56	75	55
Skint7	5	10	10	7
Gm4847	5	1	3	7
Tent5c	12	9	4	6
Gm4846	0	0	0	0
Timeless	690	482	627	405
Lman1	11061	11180	11613	9755
Taf6l	26	21	26	20
Afap1l2	9	10	7	6
Igdcc4	6	1	0	5
Muc4	0	0	0	0
Abcc4	471	438	1174	870
Klk6	0	0	0	0
Ctnna3	12	10	2	1
Spint3	0	0	0	0
Trip4	4720	4556	3919	3275
Foxg1	4909	7328	3216	3221
Ano8	44	24	110	31
Prdm2	1294	1386	1716	1338
Psmc4	797	638	924	383
Ppp2ca	21571	19058	26097	22153
Tomm5	3687	3654	5704	3328
Comt	1272	1245	1155	900
Mir467a-2	0	0	0	0
Snora47	0	0	0	1
1700015F17Rik	20	12	34	30
Prr15	0	0	0	0
Cyp20a1	3139	3120	3592	2551
Fbxl20	416	385	587	364
Tmem106b	20751	22562	23824	24408
Kctd13	17	8	22	7
Grik4	2	0	0	0
Rbmx2	584	506	782	496
Disc1	0	0	0	0
Klf15	2	0	0	0
Chchd3	5165	5087	5588	4388
BC048679	0	0	0	0
Haus6	15950	15192	19868	20162
E030013I19Rik	0	0	0	2
5430421F17Rik	31	19	33	15
Chst13	0	0	0	0
Il11ra2	0	0	0	0
Zfp639	2659	2395	2957	2365
Sart3	306	243	270	198
Itih4	0	0	0	2
Calr	10404	7306	11786	6869
Egfr	3343	3327	2252	1902
Pold2	21	15	27	13
Efna2	172	142	158	116
Eef2k	267	227	140	92
Eef2	1686	919	1834	685
Eef1a2	0	0	0	0
Phc1	82	70	71	50
Gm32123	0	0	0	0
Kif3c	254	251	396	281
Kif3b	788	609	951	585
Ppm1a	2912	2629	4005	3133
Ppl	2	2	2	0
Trip6	64	80	111	33
Tfrc	53543	52004	89255	81571
Spen	119	146	106	79
Klhl10	1	0	8	9
Ccdc96	41	37	58	42
Ccer1	0	0	0	0
Serinc1	31133	32184	36624	34455
Mir7578	1	2	0	0
Pias2	9258	10089	11320	10970
Col6a5	1	0	0	0
Zscan26	2557	2488	4385	3421
Stt3a	27645	24564	23543	18324
Prl8a9	15	5	0	4
Cyp2d13	0	0	0	0
Fam83h	9	4	21	17
Cdkal1	1378	1426	1789	1325
Cacna2d1	12407	13355	9214	8869
Ppp1r18	266	195	363	191
Mgll	2	4	0	0
Slc35e3	965	802	1086	825
Ribc1	13	7	17	10
Plgrkt	1877	2269	2153	1546
Pkp4	1738	1700	2026	1436
Snrnp200	2476	1697	2794	1354
Phf7	135	106	260	207
Acer3	5800	5970	6110	5808
Osbp2	0	0	1	0
Osbpl9	4794	5060	6325	4951
Bbs12	1405	1278	2053	1637
Ncoa6	919	1101	1172	1025
Acy1	14	13	16	3
Vmn1r221	0	0	0	0
Sncaip	0	0	0	0
Zfp655	8781	8496	10391	9872
Med15	95	127	147	74
Krtdap	0	0	0	0
Hectd2os	0	0	0	0
Zfp442	3504	3611	2778	2683
Ptafr	0	0	0	0
Prdm14	1	0	0	0
Sbno1	16427	14915	17082	14943
Ms4a4b	0	1	0	0
Sass6	2682	2765	3118	2782
Hnrnph2	15837	15894	24674	22411
Gm10030	1	0	0	2
Dsc2	0	2	0	0
B4galt4	339	314	288	237
Khdc4	8190	8655	10594	8358
Gal3st2b	1	0	0	0
Saxo1	2	0	0	0
1700009N14Rik	11	8	3	4
Gkn3	0	0	0	0
Chst11	1062	982	194	168
Fibp	19	7	32	11
Zfp566	247	221	298	171
Vps28	32	34	78	20
Dbndd2	89	113	127	85
Ugt2b1	0	0	0	0
Ppp1r27	0	0	0	0
Capn15	37	22	29	21
Rims2	877	855	397	308
Gak	1592	1320	1718	1258
Slc4a1ap	1988	1765	2431	1589
Fam45a	4696	4622	4320	4077
Alg13	4500	4761	5183	4972
Neto2	15724	17504	12520	12589
Mrpl34	306	315	611	284
Mrpl27	412	404	608	263
Allc	0	0	0	0
Frmd4a	6101	6648	10172	8982
Galntl6	7	11	12	4
Slco2a1	12	26	1	1
E2f6	1015	932	1305	988
Chrm3	0	0	0	0
Actn2	46	38	30	29
Enthd1	2	0	2	2
C2cd4a	0	0	0	0
Krtap24-1	0	0	0	0
Klhl32	1	4	0	2
Smim6	0	0	0	0
Lrrtm4	20	15	6	3
Cltb	273	238	173	129
Irf4	0	0	0	0
Sox5	7	11	2	7
Gm21859	0	0	0	0
Gm5907	0	0	0	0
Btbd35f18	0	0	0	0
Tigit	96	120	132	113
Clcn3	4327	4115	4964	4536
Ell	146	149	172	65
Elk1	345	294	459	349
Ap1m2	0	0	0	0
Hmgn2	28457	28744	29159	25414
Chmp1b	4710	5233	6337	6651
Ppp4r1l-ps	57	57	61	54
Mir684-1	0	1	0	4
Per1	6	1	10	2
Il17b	0	0	0	0
Tbx21	0	1	0	0
Gdf2	0	0	0	0
Ciao1	1090	1048	1546	1144
Klhl41	269	257	315	350
Cubn	296	264	267	213
Pard3b	74	54	49	54
Macroh2a1	1474	1463	2655	2072
Pacsin2	1441	1416	1757	1354
Tnfsf13	0	0	0	0
Gm13238	5	1	5	6
Gm12669	0	0	0	0
BC021767	0	1	0	0
Atp6v1g2	38	16	30	22
Nudt6	24	33	49	49
Mme	2010	2066	465	422
Gripap1	167	110	199	117
Apbb2	7431	7742	3985	3600
Lipg	31	45	174	162
Tac2	0	0	0	0
T	0	1	0	1
Gm30108	12	4	11	8
Tmem255b	0	0	0	0
Magef1	343	378	424	416
LOC664787	0	0	0	0
Rad50	5236	4870	6486	5347
Lyzl4	0	0	0	0
Klk1b5	0	0	0	0
Cxcr2	839	945	804	478
Cln3	1	7	10	7
Hk2	751	637	1158	716
Gtpbp1	63	55	97	22
Psma3	25395	24408	32544	28719
Col11a1	4561	4783	599	550
Dpagt1	200	143	245	138
4930453H23Rik	1	0	0	0
C430002N11Rik	3	1	2	2
Mir6382	0	0	0	0
Mir6380	0	0	0	0
Syndig1	22	23	1	0
1110032A03Rik	100	111	102	62
Vps4b	7403	7188	10118	9213
Six1	1148	1086	2046	1941
Sin3b	141	107	142	67
Mir7k	0	0	0	0
1810064F22Rik	30	43	36	27
4930455C13Rik	0	0	2	2
Slc35b3	622	631	1258	899
Prok2	0	0	0	0
Isx	0	0	0	0
Naip1	2	0	14	6
Nell1os	0	0	0	0
1700051A21Rik	0	0	0	0
Gm20736	0	0	0	0
1700029J07Rik	65	46	76	68
Arhgap8	0	0	0	0
Noc2l	229	129	237	85
Gad1os	1	2	0	0
6720483E21Rik	1	1	1	0
1810053B23Rik	0	0	0	0
Rubie	0	0	0	0
Lincred1	1	0	1	0
Bloodlinc	0	0	0	0
Stac	0	0	0	0
Cox8a	913	813	1388	332
Cbr1	46	55	64	29
Mir6910	0	0	0	0
1700122C19Rik	0	0	0	0
Kif5a	12	8	15	7
Cd151	797	731	1093	406
Otoa	0	1	0	0
Lgi2	7	1	3	2
Tbc1d10b	172	122	178	118
Sec14l2	0	1	1	1
Dnajc19	2974	3537	3184	2073
Mir669a-3	5	13	1	5
Erh	6189	4947	7975	4309
Rbm7	15349	17730	19900	19522
Tipin	15409	15833	21082	17243
Lmx1b	0	0	0	0
Wee2	0	0	0	0
Pak7	6	8	0	0
BC051665	0	0	0	0
Ccdc68	3	8	3	2
Rbms3	19606	19949	11278	10865
Gm13872	0	0	0	0
Psmd5	5157	4163	5076	4498
Ifna6	0	0	0	0
Glb1l	106	78	70	37
Mtrex	8055	7302	10685	8645
Pin1	54	21	38	11
Crispld1	11	21	10	14
Odam	0	0	0	0
Hjv	0	0	0	0
1700001L19Rik	0	3	3	2
Izumo3	0	0	0	0
Tm7sf3	1727	1724	1429	1358
Gm13710	1	0	0	0
Snord98	128	144	168	168
Heyl	0	0	0	0
Hey2	1089	1082	114	115
Lemd1	0	0	0	0
AY512915	0	0	0	0
Pou2af1	0	2	2	2
Ddx50	12396	11635	14833	12593
Zc3h12b	637	692	482	450
Gng5-ps	0	0	0	0
Serpinb9e	0	0	0	0
Igsf9	13	6	9	3
Txlnb	14	23	10	5
Fam50a	99	64	161	72
Ppp1r3f	24	34	66	31
Snx11	51	41	95	34
1700094M24Rik	0	0	0	0
Pspc1	2645	2733	4446	3978
Oma1	217	212	334	237
Fabp12	2	0	0	0
Arhgap17	216	205	220	146
Sf3b2	1120	886	1447	564
Col9a2	0	0	0	0
Gm38667	0	0	0	0
Zfand3	1149	1219	1330	1170
Cnppd1	94	90	148	58
Rpf2	7756	7353	11014	9058
Olfr1461	0	0	0	0
D630039A03Rik	0	0	0	0
Olfr1412	0	0	0	0
Olfr1394	0	0	0	0
Olfr1402	0	0	0	0
Olfr1311	0	0	0	0
Olfr448	0	0	0	0
Olfr930	0	0	0	0
Gm9054	0	0	2	0
Elf1	3059	2979	5192	5061
Cap1	4550	4211	6995	4154
Tmem11	675	563	935	521
Arsj	2667	3000	1980	1613
Zfp867	640	533	595	558
Mark2	131	113	168	112
Dctn3	248	229	416	131
Vmn1r259	0	0	0	0
Dthd1	1	0	0	0
Ghrl	2	0	0	1
Gm21708	0	0	0	0
Rnu3a	9187	4060	12591	7600
Fxyd6	0	0	0	0
Fuca2	174	139	309	261
Lypd8	0	0	0	0
Olfr1300-ps1	0	0	0	0
Trmt61a	27	29	45	12
Alpl	0	0	0	0
Sting1	90	62	130	58
Brd3os	20	20	21	6
Sult2b1	0	0	0	0
Olfr1437	0	0	0	0
F11	0	0	0	0
Apoa5	0	0	0	0
Sh3pxd2a	5165	5228	5381	4487
Sf3a2	11	14	28	10
S100a8	4	1	2	4
Foxo3	63	53	65	40
Foxo1	142	143	78	73
Idh1	6786	6459	10688	10353
Man2b1	62	40	88	31
Man1a2	20930	21266	20540	18842
Usp5	554	276	507	222
Usp4	1603	1335	1545	1119
Rnf123	16	9	10	6
Faap20	9	7	25	1
Ly6m	25	43	34	27
Myd88	129	128	221	114
Mycs	0	0	0	0
Olfr871	0	1	0	0
Olfr1221	0	0	0	0
Olfr1217	0	0	0	0
Cxcr6	1	2	0	0
Erap1	1915	1677	2960	2876
BC048403	310	370	483	496
Atp1b4	0	0	0	0
Ccdc144b	79	81	69	104
Ugt2b37	0	0	0	0
Mir7016	0	0	0	0
Gm20750	6	3	8	3
Rps6kl1	0	0	0	0
Plac8l1	1	2	1	0
Gm4922	2	1	2	1
Clrn1	17	32	24	26
Lats2	4033	4415	7123	6748
Tbc1d1	2188	1946	2404	1890
Senp5	10710	10936	14163	11743
Gm32168	1	0	0	1
Foxi3	0	0	0	0
Kng1	0	0	0	0
Zfand2a	627	569	910	672
Ccdc25	1673	1547	2590	1772
Stap2	2	4	8	2
Pcdha1	0	0	0	0
Nploc4	775	632	1043	526
Crtc1	4	0	3	0
Gm2237	0	0	0	0
Lin37	12	8	9	4
Mir883b	0	0	0	0
Cd274	137	141	144	133
Syt9	0	0	0	0
Fndc5	0	0	0	0
Capn10	80	95	197	88
Sfn	2	1	0	0
Trpm1	2	0	2	3
Sult1c1	0	0	0	0
Eif3d	206	121	256	91
Golga4	4182	4016	4129	3531
Ngdn	270	288	598	215
Mfap3	1427	1391	1640	1343
Snora41	753	524	1231	977
Snord89	0	0	7	6
Snord47	1045	879	1915	1446
Qsox2	566	596	868	638
Gmpr2	287	191	449	247
Ubqln1	11449	11311	16182	13551
Rab5b	1872	1693	2467	1817
Car11	2	0	0	0
Atxn1l	7313	7305	3254	2415
Usp45	12977	13812	18845	19017
Ccdc148	38	43	23	26
Gm5089	1	0	0	0
Cyth2	78	61	138	29
1700011L22Rik	0	0	0	0
Mrps18a	35	17	43	11
Gpr88	3	5	2	2
Itm2c	135	186	180	80
Ptges	106	91	420	220
Slc13a2	0	0	0	0
Arrdc2	1	0	4	4
Cabcoco1	1	5	0	0
Ces3a	0	0	0	0
Sec24a	3652	4793	3033	3381
Canx	89818	88915	114786	103814
Parp3	661	454	582	424
Chmp1a	143	73	171	56
2610306M01Rik	11	14	12	8
Trnp1	2	5	12	7
Polr2m	20662	21190	25054	18830
Gm4792	0	0	0	0
Ascc1	47	41	49	27
Pan2	136	105	116	74
Pglyrp2	0	0	0	0
Mir7017	0	0	2	0
Bloc1s1	33	15	47	13
Gbx1	0	0	0	0
Galr3	0	0	0	0
Dnmt3b	85	45	42	36
Rnaset2b	5	6	1	6
Doc2a	0	0	0	0
Cnnm3	150	161	264	218
Haus5	64	89	138	39
Dtwd1	953	994	2355	1809
Mir6360	0	0	0	0
Mir23a	0	1	1	1
Mir22	0	0	0	0
Vmn1r207	0	0	0	0
Gemin5	1319	1049	1511	793
Smok4a	0	0	0	0
Tgfbr3	4078	4444	10818	10583
Tgfb1	9	7	9	6
Tff3	0	0	0	0
Utp4	5977	4858	3516	2396
Grin1	0	0	0	0
Srp14	1593	1685	2579	1561
Eif3e	53376	55251	57759	42355
Ins1	0	0	0	0
Inpp5b	196	168	271	142
Mucl2	0	1	0	3
D030024E09Rik	0	0	0	0
Frg1	2623	2364	2620	2157
Zfp51	4734	5173	6018	6185
Ubxn1	306	251	377	199
Sf3b4	1479	1651	2656	2016
Mmp21	0	0	0	1
Lrrc7	107	119	4	3
Gm40893	0	0	0	0
Calcoco2	5	7	8	2
Olfr178	0	0	0	0
Olfr177	0	0	0	0
Zic1	22	11	4056	3863
Aqp2	0	0	0	0
Il6st	4235	3362	3599	2425
Foxe3	0	0	0	0
Mir344b	1	0	0	0
Gm45915	24	14	41	22
Slu7	1290	1064	1447	953
Smarca4	257	188	310	98
Ppp2r5d	373	220	332	137
Tcp11	0	1	0	0
4930593C16Rik	0	0	0	0
Ceacam1	46	56	70	61
B130024G19Rik	115	109	501	444
Tex30	5890	6192	9670	8405
Urad	0	0	0	0
Olfr1339	0	0	0	0
Olfr295	0	0	0	0
Olfr1157	0	0	0	0
Olfr1161	0	0	0	0
Olfr1090	0	0	0	0
Olfr1087	0	0	0	0
Olfr1098	0	0	0	0
Olfr1107	0	0	0	0
Olfr1097	0	0	0	0
Olfr1487	0	0	0	0
Olfr272	0	0	0	0
Olfr1126	0	0	0	0
Olfr1132	0	0	0	0
Olfr109	0	0	0	0
Nfkbiz	2626	2800	6869	7413
Acnat1	58	63	41	50
Gm20745	23	11	10	16
Xlr3c	0	0	0	0
6430503K07Rik	0	0	0	0
Fads2b	0	0	0	0
Rhox8	30	47	38	18
Trpm7	30508	30153	43146	42277
Cacul1	9824	9132	9616	8135
Pebp1	932	585	865	382
Msln	7	2	90	26
Babam2	318	260	358	210
1700001F09Rik	5	1	17	13
Slc37a2	49	34	78	37
5730405O15Rik	31	29	34	51
Epb41l4aos	995	1054	1558	1366
Mir3967	0	0	0	0
Nat8f3	0	0	0	0
Cklf	361	379	434	289
Ccdc9	47	31	71	15
Slc4a4	1944	2045	159	162
Klk1b24	0	0	0	0
Ik	2238	2007	2889	1677
Erdr1	95	101	160	130
Zfp273	159	151	557	538
Pfdn6	96	37	109	46
Vegfb	89	123	180	66
Prn	0	0	0	0
Spop	6578	6759	8585	7072
Gramd1b	82	55	217	156
Gmppa	33	18	24	12
Stxbp2	346	419	367	132
Pacs1	102	58	65	30
Cfdp1	10643	9610	6932	4299
E130308A19Rik	397	407	264	263
Btbd10	3468	3278	3050	2719
Vmp1	26437	27733	37120	30987
Unc50	1153	1175	1500	1057
Asna1	49	36	59	30
Wdfy3	3627	3801	3236	3133
Nxf7	0	0	0	0
Ankrd16	311	234	313	217
Zfp62	12313	12740	13123	13325
Cyp2d12	0	0	0	0
Pxmp4	24	22	29	9
Slco6c1	0	0	0	0
4930570G19Rik	263	284	18	20
Cnksr2	2	1	3	0
Ripor2	79	65	43	56
Mup2	0	0	0	0
Prickle3	10	5	18	11
Psmb5	187	189	529	144
Psmb1	4164	3250	4544	3048
Psen2	17	8	21	9
Cyth3	2140	2184	3970	3586
Col18a1	2	1	2	0
Mir344h-1	0	0	0	0
Ghr	14805	15169	16151	15854
Syt4	17	15	3	4
Tfam	3716	3131	4179	3676
Tex9	1460	1480	1673	1313
Naa20	3910	3755	6312	4319
Coq10b	13157	12087	16053	15891
Hscb	179	152	178	70
Rps19	220	160	284	136
Exoc3l2	0	0	0	0
Terc	2	0	0	1
Cystm1	246	238	261	236
Efcab14	2716	2983	4301	3865
Aimp1	1113	949	1478	778
Dlx1as	0	0	0	0
4930567K20Rik	0	0	0	0
Efcab6	0	0	0	0
Mir378a	0	0	0	0
Mir500	0	0	0	0
Ssna1	38	13	41	25
Gm20759	0	0	0	0
4930563E18Rik	0	1	1	3
Olfm3	1	2	0	0
Rest	3011	3306	3735	3735
Smu1	6362	4856	6770	4745
Taf9b	522	483	309	283
Mir466l	3	2	1	3
Gdf9	2	3	0	3
Hmgb3	4531	3779	5983	4190
Hmgb2	18565	19085	30721	28855
Ncf4	0	0	0	0
Pde8a	447	446	978	871
Bmp8a	0	2	0	0
Il18	229	247	276	265
Adcy8	1	1	8	1
Adcy1	33	41	13	10
Zmym3	588	594	743	544
Get4	1091	1216	1780	1341
Galnt1	15431	15084	20994	17656
Pfn4	35	34	30	22
Cdh26	0	0	7	1
Fbxl22	51	38	45	51
Psmb11	91	127	134	108
Rnf38	1969	2239	2506	2324
Slc25a16	2663	3077	3208	3166
Tsr1	8306	7256	8082	5378
Ddx39	1469	1251	1737	848
Olfr803	0	0	0	0
Elmod2	1971	1946	1985	1890
Alg2	401	430	598	410
Stk16	574	618	985	348
