	A567T11	A567T12	A567T15	A567T16
RP11-142L4.2	0	0	2	0
RGS21	0	0	0	0
AL136987.1	0	0	0	0
RP5-1011O1.2	0	0	0	0
RP5-1011O1.3	0	0	0	0
RGS1	0	0	0	1
RGS13	0	0	0	0
MIR4426	61	106	89	72
RP3-419C19.3	0	0	0	0
RP3-419C19.2	0	0	0	0
RGS2	270	317	417	545
RN7SKP126	0	0	0	0
LINC01032	0	3	0	0
ZNF101P2	2	0	3	5
UCHL5	5345	4307	4785	4843
snoU109	14	10	26	26
TROVE2	1631	1213	1800	2436
RP11-101E13.5	274	309	348	125
GLRX2	994	878	894	647
CDC73	2606	2166	3147	4075
MIR1278	0	0	0	0
B3GALT2	1	0	0	8
LINC01031	3	1	0	1
RP11-21J7.1	0	0	0	0
RP11-98G13.1	0	0	0	0
RPL23AP22	0	0	0	0
RP11-563D10.1	0	0	0	0
EEF1A1P14	0	0	0	0
RP11-476H20.1	0	0	0	0
RNU6-983P	0	0	0	0
RP11-489C13.1	0	0	0	0
AL357932.1	0	0	0	0
RP11-476B1.1	0	0	0	0
KCNT2	0	1	0	1
MIR4735	0	0	0	0
CFH	242	243	387	216
CFHR3	2	0	0	0
CFHR1	0	2	0	1
CFHR2	0	0	0	0
CFHR4	0	0	0	0
CFHR5	0	0	0	0
F13B	0	0	0	0
ASPM	7598	5507	8523	15029
RP11-32D17.4	11	22	14	27
ZBTB41	477	311	646	1144
CRB1	8	10	12	12
RP11-332L8.1	0	1	0	1
MRPS21P3	0	0	0	0
RP11-75C23.1	0	0	0	0
DENND1B	454	326	569	758
EEF1A1P32	2	0	0	0
RP11-448G4.2	0	0	0	0
FAM204BP	0	0	0	1
RP11-448G4.4	0	0	0	0
C1orf53	42	31	51	34
LHX9	0	4	2	5
NEK7	1465	1034	1755	2719
RP11-401A10.2	0	0	0	0
ATP6V1G3	0	0	0	0
RP11-553K8.2	0	0	0	0
PTPRC	0	0	0	0
RP11-553K8.5	0	0	0	0
PEBP1P3	0	0	0	0
MIR181A1HG	27	20	7	66
MIR181B1	1	0	1	0
MIR181A1	0	0	0	0
RP11-16L9.1	0	0	0	0
RP11-16L9.2	0	0	0	0
RP11-16L9.3	0	0	0	0
RP11-16L9.4	0	0	0	0
RP11-382E9.1	0	0	0	0
AC105941.1	0	0	0	0
RP11-104D3.1	0	0	0	0
RP11-104D3.2	0	0	0	0
AL450244.1	0	0	0	0
RP11-2L13.1	0	0	0	0
RP11-567B20.1	0	0	0	0
RNU6-778P	0	0	0	0
RP11-567B20.2	0	0	0	0
RNU6-716P	0	0	0	0
RNU6-609P	0	0	0	0
NR5A2	197	140	197	262
RNU6-570P	0	1	0	0
AC096633.1	0	0	0	0
RP11-47A17.2	0	1	1	0
FAM58BP	0	1	1	0
RP11-532L16.3	0	0	1	0
RP11-532L16.1	0	0	0	0
LINC00862	8	9	10	25
ZNF281	2328	1602	2863	4586
RP11-469A15.2	2	2	16	36
KIF14	4345	2949	4257	8226
DDX59	1281	1061	1193	1234
RP11-92G12.3	46	64	40	24
CAMSAP2	3772	2956	4495	8315
RPL34P6	1	3	2	19
GPR25	0	1	0	0
C1orf106	4750	4061	8617	8507
MROH3P	34	52	185	123
RNU6-704P	0	0	0	4
KIF21B	106	96	67	121
RP11-168O16.1	0	0	0	0
RP11-168O16.2	0	0	0	0
CACNA1S	0	1	2	2
ASCL5	6	7	8	7
TMEM9	4634	4868	4985	4322
IGFN1	2041	1344	1528	2721
RP11-567E21.3	10	15	8	10
PKP1	13090	12694	19296	19616
TNNT2	10	5	9	6
LAD1	16696	18270	17365	9039
TNNI1	93	88	92	67
RP11-134G8.2	0	0	0	0
RP11-134G8.8	200	229	243	217
PHLDA3	3809	3357	3426	2559
CSRP1	9633	10537	13380	12220
RP11-134G8.7	3	4	15	14
RPS10P7	46	29	63	90
RP11-134G8.6	0	0	0	0
AC096677.1	2	1	16	84
NAV1	3087	2761	9965	13550
RP11-25B7.1	0	0	0	1
IPO9-AS1	16	10	19	17
MIR5191	0	0	0	0
RP11-90L20.2	1	2	2	6
RNU6-501P	0	0	0	0
MIR1231	0	0	0	0
IPO9	12013	10562	12531	14734
SHISA4	330	261	351	529
RP11-307B6.3	0	1	1	6
LMOD1	22	16	23	74
TIMM17A	7700	6993	6428	4986
RP11-465N4.2	0	0	0	0
RNPEP	7855	7922	8258	6870
RP11-465N4.5	124	82	86	106
RP11-465N4.4	72	66	61	62
ELF3	3541	3551	1207	1892
RP11-510N19.5	66	41	24	42
RP11-510N19.2	0	0	0	0
RP11-510N19.3	0	0	0	0
CRIP1P3	0	0	0	0
GPR37L1	22	18	19	16
ARL8A	1866	1987	2014	1573
PTPN7	2	3	0	10
PTPRVP	0	1	1	9
LGR6	6	13	32	91
UBE2T	4848	5438	3954	3186
PPP1R12B	894	694	847	1447
RP11-396D18.1	0	0	0	0
RP11-175B9.2	3	2	3	1
RP11-175B9.3	8	14	9	13
SYT2	35	26	12	27
RP11-569A11.1	4	4	5	3
RP11-569A11.2	0	0	0	0
KDM5B	4297	3826	5574	6990
RP11-480I12.2	5	0	3	16
SLC25A39P1	1	0	0	0
RP11-480I12.10	2	0	1	0
PCAT6	122	102	122	77
RP11-480I12.4	0	0	1	0
RP11-480I12.5	96	128	78	64
RP11-480I12.7	6	9	8	12
RP11-480I12.9	0	0	0	0
RABIF	1196	1303	1417	1110
KLHL12	2771	2424	3113	3099
HNRNPA1P59	13	12	27	19
ADIPOR1	8247	8091	7495	6625
CYB5R1	1965	1998	2391	1744
RP11-38O14.5	0	0	0	0
RP11-38O14.6	0	0	0	0
TMEM183A	3939	3704	3172	2819
PPFIA4	545	410	645	1632
MYOG	0	0	0	0
ADORA1	30	41	23	50
RP11-335O13.7	0	0	0	0
RP11-335O13.8	0	0	0	0
MYBPH	0	0	0	1
CHI3L1	5	3	1	7
CHIT1	0	0	0	1
NPM1P40	0	0	0	0
RP11-134P9.3	2	0	2	2
RP11-134P9.1	4	1	5	1
BTG2	1376	1331	1424	1345
RNU6-487P	0	0	0	0
FMOD	0	0	0	0
RP11-435P24.2	0	0	0	0
RP11-435P24.3	0	0	0	0
PRELP	3	9	13	15
OPTC	0	0	0	1
ATP2B4	6032	4917	10155	18968
RP11-90O23.1	0	1	1	3
LAX1	2	0	5	10
ZC3H11A	10771	9335	10996	12763
ZBED6	178	170	217	913
RP11-397P13.6	0	0	0	4
RP11-397P13.7	2	2	5	11
SNRPE	9328	10607	8856	5516
KRT8P29	1	0	0	0
RP11-450D21.1	0	0	3	1
CBX1P3	3	3	22	14
AC096645.1	0	0	0	0
LINC00303	0	0	0	0
SOX13	2544	2337	1638	1231
RP11-74C13.4	0	0	0	0
ETNK2	284	277	153	365
RP11-74C13.3	1	0	0	1
REN	10	10	4	6
RP11-203F10.1	0	0	0	0
KISS1	2	5	0	1
GOLT1A	120	136	39	16
PLEKHA6	435	417	239	186
RP11-203F10.5	0	3	2	3
RP11-203F10.6	28	43	0	2
RP11-739N20.2	6	2	6	3
RP11-739N20.3	0	1	2	0
PPP1R15B	4065	3140	3418	6105
PIK3C2B	741	650	716	806
MDM4	2405	1715	2258	2410
RP11-430C7.2	0	1	0	4
RNA5SP74	0	0	0	0
RP11-430C7.4	0	0	0	2
LRRN2	4	4	2	1
RP11-430C7.5	3	3	3	4
AL161793.1	0	0	0	0
RP11-23I7.1	0	0	0	0
RNA5SP75	0	0	0	0
NFASC	423	432	845	801
RP11-494K3.2	2	5	4	4
CNTN2	0	2	2	6
AL583832.1	0	0	0	0
TMEM81	175	208	159	107
RBBP5	1947	1747	1959	2395
RP11-536L3.4	13	3	16	35
RP11-383G10.1	0	0	0	0
DSTYK	1909	1678	2007	2766
RP11-383G10.3	1	0	1	1
TMCC2	312	330	449	361
RP11-383G10.5	1	0	1	2
NUAK2	1096	1111	2466	2153
KLHDC8A	0	3	0	5
SNRPGP10	755	853	589	378
LEMD1-AS1	2	0	1	1
LEMD1	30	25	33	15
MIR135B	2	3	3	3
RP11-576D8.4	1	0	0	0
CDK18	2576	2664	3222	2265
RNU2-19P	0	0	0	0
MFSD4	84	66	79	90
RNU6-418P	4	4	12	7
ELK4	2885	2149	3254	4291
RP11-6B6.3	4	1	4	15
SLC45A3	1463	1377	1019	694
NUCKS1	17352	15222	18531	27697
AC119673.1	0	0	0	0
SNORA72	4	1	3	25
RAB7L1	3980	3665	4516	4047
SLC41A1	4350	3697	3645	4050
PM20D1	1	0	0	0
SLC26A9	6	3	5	15
RP4-681L3.2	0	0	0	0
RP11-312O7.2	44	11	26	44
FAM72A	983	794	571	577
RP11-38J22.1	3	2	1	2
RP11-38J22.2	1	3	1	2
RP11-38J22.3	0	0	0	1
AVPR1B	0	0	0	0
C1orf186	0	0	0	1
SNORD60	53	73	27	5
RP11-38J22.6	0	0	0	0
CTSE	57	63	52	51
RP11-421E17.4	0	0	1	1
SRGAP2	3629	3137	4168	5415
SRGAP2-AS1	0	0	0	0
IKBKE	2357	2146	2291	1953
C1orf147	38	25	24	28
RP11-534L20.5	2	1	2	3
RASSF5	576	554	381	449
RP11-534L20.4	2	3	5	2
EIF2D	5477	5301	4723	3564
RP11-343H5.6	13	11	9	4
DYRK3	782	657	1119	1298
MAPKAPK2	7117	7552	8152	6869
RP11-343H5.4	9	5	2	4
IL10	0	0	0	0
IL19	3	1	0	3
IL20	6	7	8	13
IL24	133	138	295	232
FAIM3	234	202	364	274
RP11-564A8.8	1	2	3	1
RP11-564A8.4	0	0	0	2
PIGR	1	3	0	1
FCAMR	0	0	1	3
C1orf116	3228	3108	4246	2831
YOD1	1241	851	1060	1778
PFKFB2	1287	931	1397	1464
C4BPB	2	1	1	0
C4BPA	0	0	0	0
RP11-164O23.5	0	0	0	0
C4BPAP1	0	0	0	1
RP11-164O23.7	1	0	0	0
C4BPAP2	0	0	0	0
RP11-6J21.2	2	3	5	3
CD55	3246	2881	1890	1883
CR2	35	28	18	9
CR1	0	0	2	0
AL691452.1	0	0	0	0
RP11-78B10.2	0	0	0	0
CR1L	0	4	3	3
CD46P1	0	0	0	0
RP11-57I17.3	0	0	0	0
CD46	9070	6709	9959	13960
RP11-454L1.2	2	1	1	3
C1orf132	142	127	193	178
RP11-328D5.1	0	0	0	0
CD34	15	15	8	19
PLXNA2	7106	6402	6490	6632
RP11-2P2.1	0	0	0	0
RP11-565N2.1	0	0	0	0
RP11-565N2.2	0	0	0	0
RPS26P13	0	0	0	0
RP11-459K23.2	0	0	0	0
RP5-1051D14.1	0	0	0	0
RP11-385M4.1	0	0	0	0
RP11-385M4.2	0	0	0	0
RP11-385M4.3	0	0	1	1
ATP5G2P1	0	0	0	0
RP11-372M18.1	0	0	0	0
RP11-372M18.2	12	17	23	15
MIR205HG	15084	16366	20775	10077
RP1-272L16.1	28	13	46	32
CAMK1G	54	36	156	571
LAMB3	59094	58882	175794	153835
MIR4260	11	10	46	141
RP1-28O10.1	7	3	23	26
G0S2	2	0	32	27
HSD11B1	156	124	145	297
ADORA2BP	1	3	2	4
TRAF3IP3	871	820	1113	1578
C1orf74	891	778	990	1900
IRF6	17791	17654	24592	22541
RP3-434O14.8	0	0	0	0
DIEXF	3550	3323	3568	3169
SYT14	318	248	190	359
SERTAD4-AS1	147	137	146	126
SERTAD4	984	857	868	891
ST13P19	14	5	9	4
RP4-667H12.4	0	0	1	1
HHAT	150	127	185	291
RNU5A-8P	0	0	1	0
RP5-879K22.1	0	0	0	0
KCNH1	2	1	0	1
IPO8P1	0	1	0	1
KCNH1-IT1	0	0	0	1
RP11-543B16.1	0	0	0	0
RP11-543B16.3	0	0	0	0
RP11-543B16.2	5	3	4	0
AC092017.1	0	0	0	0
RCOR3	1200	879	1159	1833
TRAF5	1249	998	1293	1690
LINC00467	460	530	693	538
SNX25P1	25	35	19	25
RP11-318L16.6	4	13	9	5
ARPC3P2	1	0	1	3
RD3	0	0	0	0
RP11-359E8.3	0	0	0	0
SLC30A1	1310	891	916	1252
RP11-359E8.5	1	0	0	2
RP11-354K1.2	0	1	0	2
RP11-354K1.1	0	0	0	8
AL356310.1	0	0	1	0
FDPSP8	10	6	11	9
NEK2	3828	3405	3982	4929
RP11-122M14.1	6	4	16	12
RP11-122M14.3	0	0	0	0
LPGAT1	4138	3346	5220	6732
RN7SL344P	0	0	0	0
RP11-552D8.1	0	1	1	1
RP11-565J7.1	6	9	1	0
INTS7	3373	3010	3428	3783
DTL	6115	5233	5855	6475
RPL21P28	47	87	84	30
MIR3122	2	1	2	4
RN7SKP98	5	1	6	6
RP11-15I11.2	3	6	0	2
RP11-15I11.3	3	1	0	0
PPP2R5A	2914	2427	2819	2812
RP11-384C4.6	2	1	0	1
RP11-384C4.7	0	1	2	0
RP11-384C4.3	2	0	1	0
SNORA16B	2	1	2	5
RP11-384C4.2	1	3	5	11
TMEM206	1586	1419	1451	1103
NENF	3186	3547	3349	2351
RP11-61J19.2	1	0	0	0
RP11-61J19.3	0	0	1	0
RP11-61J19.4	62	56	63	53
ATF3	743	725	852	6796
RN7SL512P	0	1	3	102
RP11-338C15.5	0	0	0	1
FAM71A	0	0	0	1
RP11-338C15.2	0	0	0	0
RP11-338C15.3	1	0	0	0
BATF3	42	41	43	44
RNU6-423P	0	0	0	0
NSL1	1657	1520	1879	1998
TATDN3	961	982	933	773
RP11-348H3.2	3	0	1	0
C1orf227	2	3	1	0
FLVCR1-AS1	206	215	215	174
RP11-348H3.4	0	0	0	0
RP11-348H3.5	1	0	1	4
FLVCR1	944	663	871	921
VASH2	10	12	26	62
ANGEL2	1528	1205	1613	2261
RPS6KC1	1466	1225	1980	2572
RPL31P13	0	0	0	0
RP11-554K11.2	0	0	0	0
AL592063.1	0	0	0	0
RP11-323I1.1	0	0	0	0
PROX1-AS1	0	0	0	1
PROX1	3	0	11	18
RP11-53A1.2	0	0	0	0
SMYD2	4770	4241	5217	4647
RP11-176D17.3	3	16	5	21
PTPN14	5882	5087	7878	10715
RP11-365D23.4	9	7	9	17
KRT18P12	0	0	0	0
CENPF	9900	8344	10377	15662
ABHD17AP3	0	0	0	0
RP11-365D23.2	0	0	0	1
GAPDHP24	0	0	0	0
RP11-323K10.1	0	0	0	0
KCNK2	24	18	5	24
VDAC1P10	0	0	0	0
KCTD3	6452	5039	5210	6519
USH2A	19	16	24	19
SNORD116	0	2	1	3
RP5-1111A8.3	0	0	0	0
RP11-22M7.2	0	0	0	0
RP5-1099E6.3	0	0	0	0
MRPS18BP1	0	0	0	0
ESRRG	0	1	7	8
GPATCH2	956	836	1216	1465
RP11-361K17.2	13	12	25	46
SPATA17	25	22	23	21
RP11-415L24.1	0	0	0	2
UBBP2	0	0	0	0
LINC00210	0	0	0	0
RP11-152L7.1	0	0	0	0
RP11-152L7.2	0	0	0	0
RNU1-141P	0	0	0	0
RRP15	3497	3505	3050	2278
RP11-224O19.4	0	1	0	0
RP11-224O19.5	0	0	1	1
RP11-224O19.2	53	56	20	79
TGFB2	1096	875	476	1217
C1orf143	15	2	7	3
RP11-412H9.1	0	0	0	0
RP11-412H9.2	0	0	0	0
RP11-135J2.4	5	0	0	0
LYPLAL1	1246	1109	1169	916
RIMKLBP2	20	15	15	57
RP11-135J2.3	5	9	6	8
RP11-392O17.1	0	1	0	1
RP11-95P13.1	0	0	0	2
RP11-95P13.2	0	0	0	0
ZC3H11B	1	1	2	6
AC096643.1	0	0	0	0
SLC30A10	0	0	1	0
RNA5SP76	0	0	0	0
EPRS	18998	16568	18292	19512
BPNT1	1932	1903	1859	1691
IARS2	15604	13764	13134	12702
MIR215	1	0	0	0
MIR194-1	0	0	0	0
RPS15AP12	14	3	7	7
RAB3GAP2	3155	2560	3627	5396
SNORA36B	0	0	1	2
RP11-568G11.4	2	2	1	20
RP11-568G11.5	0	0	0	0
MORF4L1P1	1003	988	989	1145
AURKAPS1	2	7	5	6
XRCC6P3	0	0	0	0
RP11-302I18.1	0	0	0	0
RP11-302I18.3	0	0	0	0
RP11-410C4.5	0	0	0	0
AC096644.1	0	0	0	0
RP11-410C4.1	0	0	0	0
RP11-410C4.2	0	0	0	0
SLMO2P1	0	0	0	1
RP11-410C4.4	0	0	0	0
MARK1	1030	851	1787	1612
RN7SL464P	0	0	0	0
HDAC1P2	1	0	5	22
RP11-322F10.2	0	0	0	0
C1orf115	754	767	894	636
MARC2	1065	972	906	868
MARC1	1483	1419	1108	434
RNU6ATAC35P	3	3	1	1
RP11-295M18.6	0	0	0	0
RP11-295M18.2	0	0	2	1
HLA-AS1	0	3	0	0
HLX	18	24	18	34
RP11-453O22.1	0	0	0	0
RP11-421L10.1	0	0	0	0
RP11-103C3.1	0	0	0	0
RP11-103C3.2	0	0	0	0
DUSP10	1702	1652	990	2700
RP11-191N8.2	0	0	0	0
RNU6-403P	0	2	0	0
RP11-815M8.1	8	4	0	6
RP11-400N13.2	2	4	0	2
AC092765.1	0	0	0	0
RP11-400N13.3	0	0	0	2
RP11-400N13.1	0	0	2	3
QRSL1P2	0	0	0	0
RP11-358H9.1	0	1	0	0
CICP13	0	0	0	0
RNU6-791P	0	0	0	0
HHIPL2	47	43	51	197
TAF1A	1172	961	933	869
RP11-378J18.3	58	62	57	53
MIA3	3368	2775	3434	4539
RP11-378J18.6	0	4	1	2
RP11-378J18.8	65	80	118	95
AIDA	3657	2837	5231	7120
RN7SL276P	0	0	0	0
BROX	2259	1764	2967	3268
FAM177B	11	5	6	6
RP11-452F19.3	262	280	283	230
DISP1	114	128	133	211
NDUFB1P2	0	2	0	1
TLR5	114	79	56	62
RP11-239E10.2	0	0	0	0
RP11-239E10.3	0	0	0	0
SUSD4	145	123	274	205
RNU4-57P	0	0	0	0
C1orf65	1	2	0	0
CAPN8	409	371	151	56
WI2-2998D17.2	0	0	0	0
SNRPEP10	1	0	0	0
RNU6-1248P	0	0	1	0
CAPN2	47923	43312	63420	56215
TP53BP2	2918	2630	2944	3488
PHBP11	0	0	1	0
ACTBP11	0	0	1	0
CICP5	0	0	0	0
RP11-504P24.8	446	325	336	259
RNU6-1319P	0	0	0	0
RP11-504P24.2	31	29	37	58
RP11-504P24.3	2	3	3	5
RP11-504P24.4	4	10	8	20
RP11-504P24.6	0	0	0	0
AC138393.1	3	1	0	2
RP11-504P24.5	1	2	0	1
RN7SKP49	0	0	0	0
FBXO28	2562	1878	2808	3457
RP11-365O16.1	2	2	3	1
DEGS1	5886	5046	7208	7285
RP11-365O16.3	0	0	0	0
RP11-365O16.6	8	3	6	4
NVL	2475	2312	2220	1886
MIR320B2	7	3	1	9
RP11-365O16.5	0	1	0	0
RNU6-1008P	0	0	0	0
CNIH4	4100	4214	4884	3958
WDR26	6865	5220	6708	9471
MIR4742	0	0	0	1
CNIH3	81	78	164	184
AKR1B1P1	1	0	2	1
RP11-100E13.1	18	21	24	21
RP11-100E13.3	1	0	1	0
RP11-3L21.2	0	0	0	2
AL596330.1	0	0	0	0
RP11-449J1.1	0	0	0	1
DNAH14	1018	821	1145	831
LBR	5425	4135	4891	6334
AC092811.1	23	12	30	45
RP11-496N12.6	3	0	1	2
ENAH	6522	5075	6628	10212
RP11-145A3.1	6	14	24	70
RP11-145A3.2	0	0	0	0
RNU6-1304P	0	0	0	0
SRP9	8698	6948	12028	11456
RP11-145A3.4	2	3	2	1
EPHX1	2865	3478	2820	3043
RP11-285F7.2	89	104	73	88
TMEM63A	4201	3567	3212	3411
LEFTY1	1	1	0	0
RP4-559A3.7	0	0	0	0
PYCR2	2726	2927	2344	1653
RP4-559A3.6	0	0	0	0
LEFTY2	0	0	0	0
NDUFA3P3	0	0	0	0
SDE2	1352	1083	1130	1651
RP11-396C23.4	5	3	5	4
H3F3A	7381	7167	6775	6584
RP11-396C23.2	47	45	25	29
RP11-396C23.3	0	0	0	0
ACBD3	1795	1367	2373	3365
RP11-275I14.4	7	3	7	19
RP11-275I14.2	0	1	0	0
MIXL1	4	1	2	2
LIN9	1156	841	1056	1473
YBX1P9	0	0	0	0
PARP1	22708	21584	21039	19432
RP11-118H4.3	0	0	0	0
RP11-118H4.1	0	0	0	0
RN7SKP165	0	0	0	0
CDKN2AIPNLP1	0	0	0	1
C1orf95	1	2	0	2
ITPKB	1151	1110	1295	1202
ITPKB-IT1	0	0	0	1
ITPKB-AS1	0	0	0	0
RPS27P5	0	0	0	0
PSEN2	1271	1372	1312	1055
ADCK3	1848	1794	766	893
RP5-1087E8.2	1	0	0	0
CDC42BPA	2782	2332	3393	5923
RP5-1087E8.3	0	0	0	0
RP11-1B20.1	1	0	0	0
RP11-211A18.2	2	1	2	1
RP11-211A18.1	0	0	0	1
CTD-2090I13.1	0	0	0	0
CTD-2090I13.2	0	0	0	0
CTD-2090I13.3	0	0	0	0
BTF3P9	0	0	0	0
RP11-275O4.4	0	0	0	0
TUBB8P10	0	0	0	0
TUBB8P9	0	0	0	0
RP11-275O4.3	0	1	2	2
RNA5SP77	0	0	0	0
ZNF678	373	325	402	669
RP4-566D2.1	0	0	0	0
AL592310.1	0	0	0	0
ZNF847P	0	0	0	0
SNAP47	2427	2630	2422	2207
JMJD4	742	731	589	396
SNAP47-AS1	6	4	5	3
PRSS38	1	0	0	3
WNT9A	939	777	1956	2665
MIR5008	0	0	0	2
CICP26	0	0	0	0
WNT3A	1	1	3	2
ARF1	30286	32556	32703	26852
MIR3620	0	0	0	0
C1orf35	2086	1592	1414	889
MRPL55	2099	2257	1734	1070
FAM96AP2	2	0	3	1
RP11-520H14.1	0	0	0	0
GUK1	10753	10945	11031	8012
GJC2	32	26	25	23
IBA57-AS1	28	13	28	26
IBA57	505	490	462	522
C1orf145	19	6	14	36
OBSCN	614	495	385	525
RP5-1139B12.2	16	14	19	35
RP5-1139B12.3	2	2	9	8
RP5-1139B12.4	5	1	2	3
RP11-245P10.6	8	8	6	4
TRIM11	2486	2290	2070	1576
RP11-245P10.8	0	0	0	0
RP11-245P10.4	16	16	20	18
TRIM17	26	18	20	36
HIST3H3	3	0	0	2
RP5-915N17.3	0	0	0	1
HIST3H2A	170	128	68	55
HIST3H2BB	11	5	5	7
MIR4666A	0	0	0	2
HIST3H2BA	0	0	0	0
RNF187	4254	4684	5821	5250
BTNL10	0	2	8	2
RNA5SP19	0	0	0	0
DUSP5P1	10	10	27	31
RNA5S1	0	0	0	0
RNA5S2	0	0	0	0
RNA5S3	0	0	0	0
RNA5S4	0	0	0	0
RNA5S5	0	0	0	0
RNA5S6	0	0	0	0
RNA5S7	0	0	0	0
RNA5S8	0	0	0	0
RNA5S9	0	0	0	0
RNA5S10	0	0	0	0
RNA5S11	0	0	0	0
RNA5S12	0	0	0	0
RNA5S13	0	0	0	0
RNA5S14	0	0	0	0
RNA5S15	0	0	0	0
RNA5S16	0	0	0	0
RNA5S17	0	0	0	0
RNA5SP18	2	10	7	15
FTH1P2	187	224	195	326
RHOU	3	2	17	20
RP4-799G3.1	0	0	0	0
RP4-799G3.2	0	0	0	0
ISCA1P2	0	0	0	0
RP5-1065P14.2	1	0	1	2
RP5-1061H20.5	0	0	0	0
TMEM78	0	0	0	1
RP5-1061H20.4	33	24	31	55
RP5-1061H20.3	0	0	0	0
RAB4A	1772	1724	2264	1880
SPHAR	0	0	0	0
RP4-803J11.2	1	1	0	4
CCSAP	1230	1012	1391	1606
RNU6-180P	0	0	0	0
RN7SKP276	0	0	0	0
RP5-1068B5.1	0	0	0	0
ACTA1	2	1	4	10
RP5-1068B5.3	46	39	30	21
NUP133	5915	5194	5525	5737
RP4-613A2.1	5	1	1	0
ABCB10	1829	1274	1834	2554
RNU4-21P	0	0	0	1
RNA5SP78	4	0	3	8
HMGN2P19	0	0	0	0
TAF5L	2779	2544	2891	3167
URB2	2584	2120	1923	1887
RP11-108F13.2	6	2	4	6
HMGB1P26	0	0	0	1
RP11-286M16.1	0	0	0	0
RP11-552D4.1	0	0	0	0
BX323860.1	0	0	0	0
GALNT2	9953	9298	15083	17080
RP5-956O18.2	6	9	23	62
RP5-956O18.3	0	0	0	0
AL691479.1	0	0	0	0
PGBD5	33	35	9	5
RP11-543E8.1	0	0	0	0
RP11-543E8.2	0	0	0	0
COG2	2309	2127	2023	2190
AGT	2	1	0	1
RP11-99J16__A.2	0	0	3	0
RN7SL467P	0	0	0	0
CAPN9	1	1	0	1
RNA5SP79	0	0	0	0
RP5-858B6.1	0	0	0	0
C1orf198	1535	1490	1349	1019
RP5-858B6.3	10	3	9	5
RN7SL837P	0	0	0	0
TTC13	1411	1249	1484	1494
ARV1	1529	1517	1584	1173
AL844165.1	0	0	0	0
FAM89A	658	544	629	389
MIR1182	0	0	0	0
RP11-423F24.3	2	4	2	2
RP5-1097F14.1	0	0	0	0
TRIM67	0	1	2	3
RP5-1097F14.3	0	0	0	0
C1orf131	1268	1267	1056	984
GNPAT	5227	5028	6126	5644
RNA5SP80	0	0	0	0
EXOC8	957	656	962	1150
SPRTN	1219	967	1095	1299
EGLN1	2540	2094	3087	4306
SNRPD2P2	0	4	0	0
RP11-295G20.2	871	1011	450	258
TSNAX-DISC1	0	1	1	3
TSNAX	1198	1025	1194	1372
LINC00582	2	0	0	1
DISC1	17	11	18	44
RNU5A-5P	0	0	0	0
DISC1-IT1	0	0	0	0
RP5-865N13.2	0	0	0	0
RP5-865N13.1	0	0	0	0
RP11-284L19.1	0	0	0	0
RN7SL299P	0	0	0	0
SIPA1L2	182	170	87	483
RNU6-1211P	0	0	0	0
RP11-66A2.1	0	0	0	0
RP11-66A2.2	0	0	0	0
MAP10	8	9	21	34
RNU1-74P	0	0	0	0
RP4-659I19.1	0	0	0	0
NTPCR	1532	1633	1476	1512
PCNXL2	1594	1400	1813	2334
RPS7P3	48	44	30	27
RP5-862P8.3	0	0	0	0
MLK4	1784	1319	1110	964
RNU4-77P	0	0	0	0
KCNK1	1484	1351	1478	1046
MIR4427	0	0	0	1
RP11-301G21.1	0	2	7	2
SLC35F3	598	503	682	667
RP11-488L4.1	0	0	0	0
RAC1P7	0	1	0	0
RP4-799P18.2	11	7	20	8
RP4-799P18.4	0	0	2	2
RP4-799P18.3	0	2	1	5
RP4-799P18.5	2	1	1	2
MIR4671	9	6	7	11
RP5-827C21.1	1	1	0	0
RP5-827C21.2	7	3	8	7
RP5-827C21.6	7	5	21	13
RP5-827C21.4	85	97	74	44
COA6	2128	1919	2020	1405
TARBP1	3466	2653	2872	3889
RP5-855F14.1	0	0	1	0
RP5-855F14.2	0	0	0	0
U8	5	1	3	19
IRF2BP2	4330	3521	4590	5342
RP4-781K5.2	0	0	0	0
LINC00184	41	23	51	59
RP4-781K5.9	19	17	21	16
RP4-781K5.4	109	109	88	82
RP4-781K5.5	66	67	32	40
RP4-781K5.6	8	7	1	5
RP4-781K5.7	3	0	3	5
RP4-781K5.8	12	10	17	30
RNY4P16	0	0	0	0
RN7SL668P	0	0	0	0
RP11-443B7.2	0	0	0	0
RP11-443B7.1	2	0	5	12
RP11-443B7.3	9	4	5	15
RP4-597N16.1	0	0	2	0
RP4-597N16.4	3	8	3	1
TOMM20	16140	13111	12846	13475
SNORA14B	20	18	20	24
RBM34	75	55	68	98
ARID4B	1556	1019	1786	3025
ARID4B-IT1	5	5	5	8
MIR4753	0	0	0	0
RPL23AP23	1	1	1	0
AL391994.1	2	0	0	0
GGPS1	2255	2168	2872	2803
RP11-382D8.3	5	1	3	7
RP11-382D8.5	1	0	1	0
TBCE	2730	2616	2658	2507
RP11-293G6__A.2	2	3	2	3
RP11-293G6__A.3	3	0	2	3
B3GALNT2	1394	998	1119	1551
RP4-534P7.2	0	0	0	0
MTND6P14	0	0	0	0
MTND5P19	0	0	0	0
MTND4P10	0	0	0	0
RP11-293G6__B.4	0	0	0	0
MTND3P8	0	0	0	0
RP11-293G6__B.2	0	0	0	0
GNG4	106	148	76	123
RP11-293G6__B.8	0	0	0	0
RP11-365D9.1	0	0	0	1
