	A567T09	A567T10	A567T13	A567T14
NPPC	3	0	0	0
DIS3L2	1718	1864	1681	1502
AC105461.1	0	0	0	0
MIR562	0	0	0	0
AC068134.10	12	22	10	9
ECEL1P3	1	0	0	0
ALPP	12	5	15	10
AC068134.8	0	0	0	0
ECEL1P2	1	1	0	0
ALPPL2	0	0	0	0
AC068134.5	0	0	0	0
AC068134.6	0	0	0	0
DIS3L2P1	0	0	0	0
ALPI	0	0	0	0
ECEL1	0	1	0	0
PRSS56	1	0	1	0
CHRND	4	1	0	1
CHRNG	13	8	11	11
TIGD1	517	544	562	434
EIF4E2	5589	6814	6782	6416
MIR5001	0	0	0	0
AC073254.1	24	20	42	28
EFHD1	173	191	398	312
RN7SL359P	0	0	0	0
GIGYF2	6785	6916	4682	3731
AC064852.5	4	7	0	5
AC064852.4	0	1	0	0
KCNJ13	11	5	0	1
RNU6-107P	0	1	0	0
C2orf82	68	77	86	114
NGEF	167	150	185	173
AC106876.2	0	0	0	0
NEU2	0	0	1	0
INPP5D	139	28	78	78
RN7SL32P	0	0	0	0
ATG16L1	2151	2862	2333	1996
SCARNA5	3	4	0	0
SCARNA6	19	14	12	4
SAG	2	0	0	0
RP11-400N9.1	3	10	13	14
DGKD	7678	6747	5265	4247
AC019221.4	9	4	6	11
USP40	7701	8162	5352	4586
RP11-289A15.1	40	14	0	1
UGT1A12P	0	0	0	0
UGT1A11P	0	0	0	0
UGT1A1	9	4	8	3
UGT1A10	1	2	0	0
UGT1A13P	0	0	0	0
UGT1A9	0	0	0	0
UGT1A7	2	1	1	2
UGT1A6	6	0	0	2
AC114812.8	1	0	0	0
UGT1A5	0	0	0	0
UGT1A4	0	0	0	0
RPL17P11	0	0	0	0
UGT1A3	0	0	0	0
AC114812.9	1	0	0	0
DNAJB3	0	0	0	0
UGT1A2P	0	1	0	0
AC114812.10	1	0	0	0
AC114812.5	2	0	0	0
UGT1A8	0	0	0	0
MROH2A	32	41	125	114
HJURP	8735	10326	8943	7729
MSL3P1	1114	1352	1206	1048
TRPM8	3	4	11	4
AC005538.5	0	0	0	0
SPP2	0	0	0	0
AC006037.2	0	0	0	0
RP11-309M7.1	0	0	0	0
AC097713.5	0	0	0	0
AC097713.3	0	0	0	0
AC097713.4	0	0	0	0
AC097713.2	0	0	0	0
ARL4C	1772	1468	838	682
AC010148.1	0	0	2	4
SH3BP4	13511	15518	8501	7164
AC114814.4	1	0	0	1
AC114814.2	0	0	0	0
AC114814.3	1	0	0	0
AC092576.1	0	0	0	0
AGAP1	2352	2345	2169	1730
AGAP1-IT1	14	16	13	18
AC012305.1	0	0	0	0
AC064874.1	0	1	0	0
TMSB10P1	1	0	0	1
RNU7-127P	1	1	0	0
RN7SL204P	0	0	0	0
GBX2	0	2	3	2
AC079135.1	0	1	0	0
ASB18	0	0	0	0
RNU1-31P	0	0	0	0
IQCA1	61	34	22	30
RP11-785G17.1	0	0	0	0
AC019068.2	0	0	0	0
RPL3P5	0	0	0	0
ACKR3	29	8	7	5
AC011286.1	0	0	0	0
RNU6-1051P	1	2	0	1
AC105760.3	3	5	1	0
AC105760.2	120	156	140	119
COPS8	13499	14626	11205	9889
AC107079.1	14	6	4	1
AC112715.2	33	29	35	36
COL6A3	23361	16479	9844	7554
AC112721.1	229	249	62	39
AC112721.2	400	424	113	85
MLPH	14216	16880	14621	14137
RNU6-1140P	1	0	0	0
PRLH	3	0	0	1
RAB17	365	216	549	572
AC104667.3	10	7	15	17
AC096574.5	3	0	0	2
LRRFIP1	11724	14576	8761	6823
RBM44	73	86	19	24
RAMP1	126	94	659	708
SNORD39	1	0	0	0
UBE2F	684	845	812	819
UBE2F-SCLY	3	6	8	6
RNU6-1333P	6	0	1	0
SCLY	390	466	419	387
ESPNL	4	2	5	3
KLHL30	12	13	7	12
FAM132B	392	388	408	399
ILKAP	2422	3261	3138	2926
AC016757.3	0	0	1	1
AC096574.4	4	2	0	1
HES6	157	163	263	271
PER2	561	346	174	171
AC012485.1	1	0	0	0
AC012485.2	0	1	0	1
TRAF3IP1	1829	2295	1547	1270
RNU6-234P	1	0	0	0
ASB1	4243	5372	3720	3346
AC016999.2	12	7	5	5
AC092619.1	3	5	6	4
AC113618.1	0	0	0	0
AC113618.2	0	0	0	0
AC144525.1	0	0	0	0
TWIST2	257	380	318	309
AC114788.2	26	18	30	26
AC114788.1	0	1	0	0
RP11-648F7.1	1	4	4	1
HDAC4	1787	1778	938	863
MIR4440	0	0	0	2
AC017028.6	0	0	0	0
AC017028.10	0	0	0	0
AC017028.2	0	0	0	0
AC017028.3	1	0	0	0
AC017028.4	0	0	0	0
AC017028.9	0	1	0	0
AC017028.5	1	0	1	1
AC017028.8	2	2	0	2
MIR4441	0	1	0	0
AC017028.7	1	1	2	1
AC017028.1	0	0	0	0
MIR4269	0	0	1	0
MIR2467	0	0	0	0
AC062017.1	37	49	42	51
AC079612.1	0	0	0	0
AC079612.2	0	0	0	0
RP11-315F22.1	0	0	0	0
AC093802.1	0	0	0	0
NDUFA10	6482	7715	6274	5824
MIR4786	7	2	4	4
OR6B2	1	0	0	0
PRR21	0	0	0	0
OR6B3	0	0	0	0
OR9S24P	0	0	0	0
OR5S1P	0	0	0	0
AC013469.1	0	3	0	0
MYEOV2	2401	2936	3998	4341
OTOS	0	1	1	3
AC124861.1	4	4	5	2
AC124861.2	0	0	0	0
GPC1	8666	7184	15899	15381
AC110619.2	28	7	10	8
AC110619.1	5	3	1	2
MIR149	0	1	0	0
ANKMY1	652	727	585	504
DUSP28	156	196	176	157
RNPEPL1	2372	2360	3144	3213
CAPN10-AS1	108	292	345	346
CAPN10	1363	1617	1567	1430
GPR35	22	28	14	17
AQP12B	0	1	0	0
AC011298.1	0	0	0	0
AC011298.2	0	0	0	0
AQP12A	0	0	0	0
KIF1A	0	4	0	3
AGXT	0	0	2	0
C2orf54	1	0	2	0
AC104809.3	4	4	4	4
AC104809.4	1	1	5	11
AC104809.2	1	0	1	0
SNED1	200	173	67	49
AC093585.6	1	0	0	0
AC005237.4	5	1	1	0
MTERFD2	2107	2485	2031	1781
PASK	2855	3420	2236	1735
AC005237.2	1	3	0	0
PPP1R7	4169	4742	5610	5692
ANO7	238	363	392	423
HDLBP	57435	63074	61302	53410
AC104841.2	0	0	0	0
AC104841.1	7	6	0	1
SEPT2	38399	44238	32750	27376
AC005104.3	160	160	83	71
FARP2	3957	4807	2886	2314
MIR3133	0	0	0	0
AC110299.5	3	2	0	0
STK25	6948	9668	9540	9097
BOK-AS1	6	7	9	5
BOK	2223	3330	3992	3905
RP11-367H1.1	17	23	14	27
THAP4	2827	3214	3750	3654
RNA5SP122	2	2	10	14
ATG4B	3840	5064	4553	4516
DTYMK	4351	6117	6636	7139
AC133528.2	226	253	375	415
ING5	1726	2146	1905	1696
AC114730.11	19	29	8	13
D2HGDH	1246	1119	1222	1319
AC114730.8	0	0	0	1
AC114730.7	1	1	2	2
GAL3ST2	1	3	2	8
AC114730.5	1	0	0	3
AC114730.3	4	2	3	2
NEU4	0	3	0	0
AC114730.2	1	1	2	1
PDCD1	0	0	0	0
CXXC11	0	0	0	2
AC131097.3	78	84	32	24
AC131097.4	2	3	3	1
AC093642.3	83	79	56	44
AC093642.4	0	0	0	0
AC093642.6	0	0	0	0
RP11-341N2.1	2	3	2	3
AC093642.5	138	113	45	48
CICP10	0	0	0	0
AC134873.1	0	0	0	0
ABC7-43041300I9.1	3	1	0	1
AY269186.1	0	0	0	0
AY269186.2	0	0	0	0
CHL1-AS2	0	0	0	0
CHL1	1	1	0	2
RNU6-1194P	0	0	0	0
RPS8P6	0	0	0	0
CHL1-AS1	0	0	0	0
AC090044.1	0	0	0	0
AC087431.1	0	0	0	0
AC090044.2	0	0	0	0
AC087430.1	0	0	0	0
RN7SL120P	0	0	0	0
CNTN6	0	0	0	1
AC026214.2	0	0	0	0
AC090043.1	0	0	0	1
RPL23AP39	0	0	0	0
RPL21P17	0	0	0	0
RP11-204C23.1	0	0	0	0
RN7SKP144	0	0	0	0
CNTN4	0	0	0	0
CNTN4-AS2	0	0	0	0
AC026882.1	0	0	0	0
DNAJC19P4	0	0	0	0
CNTN4-AS1	0	0	0	0
IL5RA	1	0	1	4
TRNT1	1839	2867	1509	1220
CRBN	1981	2352	1504	1220
RP11-97C16.1	118	220	210	183
AC026188.1	0	0	0	0
AC024158.1	0	0	0	0
SUMF1	2080	2183	2274	2021
LRRN1	0	2	0	1
PNPT1P1	1	1	1	0
SETMAR	401	525	500	464
MRPS10P2	0	0	0	0
ITPR1-AS1	30	18	23	21
ITPR1	1253	1192	514	359
EGOT	3	0	0	1
AC018816.3	18	15	19	8
BHLHE40-AS1	51	29	28	30
BHLHE40	14142	7079	4383	3389
RNF10P1	0	0	0	0
UBTFL8	0	0	0	0
AC090955.5	0	0	0	0
ARL8B	5955	7687	3757	3058
AC026202.3	31	39	31	34
AC026202.1	0	0	0	0
EDEM1	6414	6860	4884	3798
MIR4790	0	0	0	0
RN7SL553P	0	0	0	0
AC026202.5	0	0	0	0
AC027119.1	0	0	0	0
AC026167.1	0	0	0	0
AC091069.1	0	0	0	0
AC069277.2	0	0	0	0
GRM7-AS3	0	0	0	0
AC024162.2	0	0	0	0
GRM7	0	0	0	0
MRPS36P1	1	1	0	0
GRM7-AS2	0	0	0	0
GRM7-AS1	0	0	0	0
RP11-157E16.1	0	0	0	0
LMCD1-AS1	32	43	35	27
AC069276.1	0	0	0	0
AC018832.1	0	1	0	0
RNU4ATAC17P	0	1	0	0
AC023481.1	0	0	0	1
LMCD1	838	873	718	594
LINC00312	69	33	21	14
AC034187.2	0	0	0	0
SSUH2	24	28	26	13
OR7E122P	0	0	0	1
AC034187.4	0	0	0	0
AC034187.1	0	0	0	0
AC034187.5	0	0	0	0
AC034187.3	0	0	0	0
CAV3	1	2	1	1
OXTR	136	178	162	154
hsa-mir-548ba	5	2	0	0
RAD18	3264	3908	2531	2016
SRGAP3	165	72	51	39
SRGAP3-AS1	0	0	0	0
SRGAP3-AS2	0	0	1	1
SRGAP3-AS3	0	0	0	0
SRGAP3-AS4	0	0	0	0
RP11-380O24.1	12	8	3	7
PGAM1P4	1	1	0	2
SETD5-AS1	1348	1995	1588	1298
THUMPD3	3604	4354	3273	2808
SETD5	13941	15219	9500	7387
AC018506.1	0	0	0	0
RP11-58B17.2	0	0	1	0
LHFPL4	0	0	0	0
DUSP5P2	0	0	0	0
MTMR14	2168	2346	2416	2363
CPNE9	3	6	2	3
BRPF1	2316	2410	1937	1611
OGG1	1248	1590	1675	1574
CAMK1	208	376	446	457
TADA3	6259	6701	7190	6401
ARPC4	2998	3920	5166	5857
ARPC4-TTLL3	18	16	4	3
TTLL3	1188	1400	615	542
RP11-266J6.2	3	0	1	3
RPUSD3	2190	3059	3160	3177
CIDEC	34	22	127	126
JAGN1	2388	3190	3405	3455
IL17RE	355	351	534	474
IL17RC	1204	1433	1907	1903
RNU6-882P	12	24	15	10
CRELD1	1051	1002	1255	1214
RP11-1020A11.1	18	45	45	55
PRRT3	202	284	523	511
PRRT3-AS1	54	127	112	98
RP11-1020A11.2	100	152	125	123
EMC3	3328	4016	4312	4335
AC034193.5	619	1006	751	683
CYCSP10	40	74	29	19
AC022007.5	194	318	458	417
CIDECP	487	762	631	573
FANCD2	5355	6866	4887	3984
RNU6-670P	0	0	0	0
AC034193.7	0	0	1	0
FANCD2OS	21	37	13	9
BRK1	10288	12162	13768	14161
VHL	4666	5925	3006	2490
IRAK2	1460	1861	1100	880
RNU6-814P	2	1	0	2
TATDN2	1115	1763	1841	1882
RP11-438J1.1	0	0	0	0
LINC00852	97	68	52	46
GHRL	22	33	19	15
GHRLOS	72	90	79	92
SEC13	11320	12801	11558	11182
ATP2B2	38	37	8	12
MIR378B	1	0	0	0
MIR885	0	0	0	0
AC090841.1	0	0	0	0
ATP2B2-IT1	0	0	0	0
ATP2B2-IT2	0	0	0	0
LINC00606	0	0	0	0
AC018495.3	0	0	0	0
SLC6A11	120	19	4	3
SLC6A1	0	0	0	0
SLC6A1-AS1	0	0	0	0
HRH1	2054	2667	1568	1169
CHCHD4P4	0	0	1	0
ATG7	1976	2716	2441	2222
AC083855.5	0	0	0	0
AC026185.1	0	0	0	0
RP11-169K17.2	0	0	2	0
VGLL4	2130	1927	1062	824
RP11-169K17.4	4	2	0	2
RP11-169K17.3	3	1	1	0
AC090939.1	0	0	0	0
TAMM41	823	1041	907	831
FANCD2P2	0	0	0	1
CYCSP12	0	0	0	0
NUP210P2	0	0	0	0
MARK2P14	0	0	0	0
AC090958.5	0	0	0	0
RN7SL147P	0	0	0	0
SYN2	599	259	450	367
ACTG1P12	0	0	0	0
AC026166.1	0	0	0	0
TIMP4	19	16	3	5
AC026166.2	0	0	0	0
GSTM5P1	0	0	0	0
PPARG	3205	3400	5370	4798
AC091492.2	10	5	3	2
TSEN2	1158	1416	1143	925
RNU6-404P	0	1	0	0
RNA5SP123	5	8	1	2
RNU6-377P	1	2	1	0
C3orf83	50	32	15	19
MKRN2	3915	3810	2484	2164
RAF1	7862	9794	7739	6785
CRIP1P1	0	0	0	0
TMEM40	119	29	62	73
KRT18P17	0	0	0	2
CAND2	295	288	400	372
RP11-767C1.2	18	8	25	23
RPL32	56619	62155	68899	74114
SNORA7A	0	0	0	0
AC034198.7	0	0	0	0
RP11-767C1.1	0	0	0	0
IQSEC1	1849	1822	1717	1454
RP11-715I4.1	0	0	0	0
NUP210	1283	1221	5226	4286
AC027124.3	0	0	0	0
AC027124.2	0	0	0	0
HDAC11-AS1	3	5	3	3
HDAC11	733	812	1137	1134
FBLN2	117	88	46	31
LINC00620	5	0	2	0
AC093611.2	0	0	0	0
AC093611.1	0	0	0	0
WNT7A	20	2	4	3
VN1R20P	1	3	1	0
FGD5P1	0	1	0	0
TPRXL	3	0	0	0
VN1R21P	0	0	0	0
CHCHD4	1186	1688	1427	1294
TMEM43	8291	9913	8192	6937
RP11-434D12.1	105	73	41	35
AC093495.4	17	16	18	9
XPC	2624	2430	2255	1757
LSM3	5412	6060	7258	7166
RP11-536I6.2	0	0	0	0
RP11-536I6.1	0	0	0	0
RNA5SP124	0	0	0	0
SLC6A6	10512	9209	6687	5270
GRIP2	7	4	0	0
RNU6-905P	0	0	0	0
RHBDF1P1	0	0	0	0
AC090952.5	1	1	0	4
CCDC174	1289	1228	1246	1159
C3orf20	4	3	0	2
AC090957.2	0	0	0	0
RP11-95M5.1	0	0	0	0
FGD5	1	4	3	6
FGD5-AS1	10179	11998	6415	4537
NR2C2	1671	1775	762	598
MRPS25	4299	5867	4312	3959
ZFYVE20	2678	2755	2041	1798
AC090954.5	0	0	0	0
AC090954.1	0	0	0	0
RPS3AP53	0	0	0	0
COL6A4P1	2	1	0	0
CAPN7	2618	2925	1767	1307
SH3BP5-AS1	385	310	176	140
SH3BP5	210	183	142	86
RNU6-454P	0	0	0	0
HMGN2P7	0	0	0	0
METTL6	1189	1485	1290	1062
EAF1	2127	1655	1031	800
RNU6-1024P	8	1	4	0
EAF1-AS1	13	10	4	0
COLQ	58	64	40	25
MIR4270	0	0	0	0
RN7SL110P	0	0	0	0
HACL1	1908	1742	2073	1865
BTD	1438	1346	1472	1366
ANKRD28	13118	12439	6051	4866
MIR3134	2	2	0	0
RP11-44D5.1	0	3	1	0
RN7SL4P	8	2	1	0
MIR563	8	4	2	0
AC090945.1	39	28	42	48
GALNT15	2264	1387	652	537
AC090953.1	0	0	0	0
DPH3	1903	2542	1650	1472
OXNAD1	1072	1022	896	810
RP11-608O8.2	2	2	0	0
RFTN1	2088	2338	1919	1771
RP11-415F23.2	25	8	14	8
RP11-415F23.3	10	20	13	8
RP11-415F23.4	13	18	24	26
RP11-194G10.3	0	0	0	0
LINC00690	0	0	0	0
DAZL	0	1	0	1
AC010139.1	0	0	0	0
AC091493.2	0	0	0	0
AC091493.1	1	0	0	0
PLCL2	76	62	39	33
MIR3714	0	0	0	0
PLCL2-AS1	0	0	0	0
AC090644.1	0	0	0	0
TBC1D5	5382	5268	3374	2682
AC090960.1	0	0	0	0
AC140076.1	0	0	0	0
U7	1	0	0	0
AC104451.2	0	2	0	0
AC104297.1	1	1	1	3
PDCL3P3	0	0	0	0
AC132807.1	0	0	0	0
SATB1	371	186	23	10
RP11-158G18.1	1	1	0	0
AC144521.1	0	0	0	0
RAD23BP1	0	2	1	0
RNU6-138P	0	0	0	0
KCNH8	3	1	0	1
MIR4791	0	0	0	0
EFHB	21	24	25	24
HSPA8P18	0	2	0	0
RAB5A	5690	5840	2655	1928
PP2D1	125	66	14	14
RNU4-85P	1	0	0	0
AC097635.4	3	6	4	2
AC097635.5	0	4	4	1
KAT2B	674	724	523	361
MIR3135A	1	2	0	0
SGOL1	1531	1809	1207	1120
SGOL1-AS1	4	6	6	0
RNY4P22	0	0	0	0
RNU6-822P	0	0	0	0
AC107622.1	0	0	0	0
RP11-669C19.1	1	0	0	0
RNU6-815P	0	0	0	0
AC104441.1	0	0	0	0
AC104183.1	0	0	0	0
VENTXP7	0	0	0	0
RP11-180N14.1	0	0	0	0
ZNF385D	19	18	31	32
ZNF385D-AS1	0	0	0	0
AC023798.1	0	0	0	0
ZNF385D-AS2	0	0	0	0
HMGB1P5	896	964	801	656
AC092421.1	0	0	0	0
RP11-1037D22.1	0	0	0	0
RANP7	0	0	0	0
SALL4P5	0	0	0	0
RPL24P7	0	1	1	0
UBE2E2-AS1	2	0	0	0
UBE2E2	1593	1723	1198	1086
AC121251.1	0	1	0	1
AC092038.1	0	0	0	0
AC092038.2	0	0	0	0
RNU6-922P	1	1	0	0
RNU6-788P	0	0	0	0
AC020626.1	0	0	0	0
UBE2E1-AS1	14	13	16	12
UBE2E1	7355	8600	4400	3424
AC124914.3	27	20	6	3
NKIRAS1	618	741	571	481
RPL15	62755	59664	66918	66304
NR1D2	3393	2365	614	505
LINC00691	0	0	0	0
NPM1P23	0	0	0	0
THRB	149	108	174	141
RPL31P20	0	0	0	0
THRB-IT1	0	0	0	0
THRB-AS1	6	2	4	4
RP11-317L10.1	0	0	0	0
MIR4792	0	0	0	0
EIF3KP2	0	0	0	0
AC133680.1	2	0	0	0
RN7SL216P	0	0	0	0
RNA5SP125	0	0	0	0
RARB	71	52	15	14
CFL1P7	0	0	0	0
RNA5SP126	0	0	0	0
AC133141.1	0	0	0	0
SNORD5	1	0	0	0
TOP2B	16338	17823	10711	8407
MIR4442	4	2	0	2
CRIP1P2	0	0	0	0
NGLY1	1806	2457	2085	1795
AC092798.2	9	3	1	4
TAF9BP1	3	2	0	0
AC092798.1	0	0	0	0
OXSM	840	1231	1280	1069
LINC00692	0	0	0	0
RPEP2	0	0	0	0
HMGB3P12	0	0	0	0
VENTXP4	0	0	0	0
AC099754.1	0	0	0	0
LRRC3B	0	0	0	0
AC114877.3	0	0	0	0
AC114877.1	0	0	0	0
NEK10	82	90	64	50
MINOS1P3	0	0	0	0
RNU6-342P	0	0	1	0
AC099535.1	0	0	0	0
SLC4A7	4857	4993	1162	897
RN7SL859P	0	0	0	0
RPS20P15	4	0	0	1
AC099535.4	1	1	3	1
RNU1-96P	1	0	0	1
AC137675.1	0	0	0	0
AC098614.1	0	0	0	0
AC098614.2	67	94	72	43
RP11-222K16.1	4	4	1	3
AC098614.3	0	0	0	0
RP11-222K16.2	62	50	56	67
EOMES	0	4	3	4
AC098973.2	0	0	0	0
AC098973.1	0	0	0	0
AC092415.1	0	0	0	0
CMC1	1634	1994	1544	1505
AZI2	2688	2774	1704	1300
ZCWPW2	51	39	25	24
FAM96AP1	0	0	0	0
AC093142.2	0	0	0	0
LINC00693	1	0	1	2
AC097361.1	0	0	0	0
MESTP4	0	0	0	0
RBMS3-AS3	66	48	25	41
RBMS3	2055	1638	810	721
AC098650.1	0	1	0	0
RPS12P5	2	0	1	0
RBMS3-AS2	5	2	1	3
AC092796.1	1	0	0	0
RBMS3-AS1	0	2	0	0
AC099048.1	3	2	0	0
AC137674.1	0	0	0	0
AC137674.2	0	0	0	0
AC116035.1	0	0	0	0
AC116035.2	0	0	0	0
TGFBR2	11544	17125	7342	5560
AC096921.2	1	3	0	0
RP11-1024P17.1	227	132	62	48
GADL1	0	0	0	0
hsa-mir-466	0	0	0	0
CNN2P6	0	0	0	0
RNA5SP127	0	0	0	0
AC115283.1	0	0	0	0
AC099540.1	0	0	0	0
THRAP3P1	0	0	2	0
STT3B	19749	23221	11837	9074
OSBPL10	2464	2759	2260	1839
OSBPL10-AS1	3	1	0	2
ZNF587P1	0	1	2	0
ZNF860	270	458	263	197
RPL21P40	1	0	0	2
MKI67IPP7	0	0	0	0
GPD1L	942	1138	851	728
AC094019.4	1	1	1	5
AC097639.8	1	0	0	1
RP11-384L8.1	12	16	15	9
CMTM8	266	278	203	160
RP11-384L8.2	0	0	0	0
KRT18P15	9	6	3	5
AC097639.1	0	0	0	0
CMTM7	1310	1761	1696	1761
CMTM6	7205	8401	4359	3220
AC104306.1	0	0	0	0
AC104306.2	0	0	0	0
DYNC1LI1	2940	3630	2797	2595
AC104306.4	0	0	0	0
IGBP1P3	0	0	0	0
RPL30P4	0	0	0	0
CNOT10	2702	3361	2933	2623
CNOT10-AS1	3	0	0	0
SUGT1P2	6	3	4	3
AC139452.2	1	0	2	0
TRIM71	1	0	0	2
CCR4	4	3	1	1
GLB1	6651	6622	6769	5908
SEC13P1	0	2	0	1
AC112211.3	0	0	0	0
TMPPE	141	180	61	69
RN7SL296P	0	0	0	0
CRTAP	22128	22435	28006	26248
RP11-627J17.1	0	0	0	0
SUSD5	40	39	28	23
AC123900.2	0	0	0	0
FBXL2	889	1286	966	834
UBP1	9402	13440	6530	5214
RNU7-110P	3	0	0	0
RNA5SP128	0	0	0	0
CLASP2	3034	3990	1821	1379
AC132515.1	2	3	1	1
AC112220.2	0	0	0	0
SDAD1P3	0	0	0	0
RP11-10C24.2	20	17	19	10
RP11-10C24.3	59	111	80	71
RP11-10C24.1	62	76	28	31
PDCD6IP	11322	13740	9180	7400
AC018359.1	0	0	0	0
AC123023.1	0	0	0	0
AC018359.3	0	0	0	0
FECHP1	0	0	0	0
KRT8P18	0	0	0	0
RNU6-243P	0	0	0	0
ARPP21	0	1	0	0
ARPP21-AS1	0	0	0	0
MIR128-2	0	0	0	0
AC104308.2	0	0	0	0
RFC3P1	0	0	0	0
STAC	775	1141	837	677
NBPF21P	0	1	0	1
RN7SKP227	1	0	0	0
DCLK3	0	1	0	0
HSPD1P6	0	0	0	0
TRANK1	198	166	237	155
AC011816.1	0	1	0	0
RNU6ATAC4P	2	0	0	0
RP11-129K12.1	4	3	1	0
PRADC1P1	6	2	2	0
RP11-129K12.4	6	16	7	10
RP11-129K12.3	0	0	0	0
EPM2AIP1	2653	3953	1800	1472
MLH1	4743	5908	5310	4351
RPL29P11	26	29	19	24
LRRFIP2	4041	5379	4061	3592
UBE2D3P2	0	0	0	0
RNU6-1301P	1	2	0	1
UBE2FP1	97	47	24	21
RP11-285J16.1	10	21	30	35
AC097359.2	3	2	5	0
RP11-259K5.1	1	1	1	4
RP11-259K5.2	0	1	0	1
AC097359.1	1	0	0	0
GOLGA4	10573	11339	6302	4942
TCEA1P2	87	104	40	25
RNA5SP129	0	0	0	0
C3orf35	58	38	35	46
ITGA9	12	19	14	10
RNU7-73P	0	0	0	0
AC093415.2	69	72	77	66
RPL21P135	0	0	0	0
NDUFAF4P3	1	2	1	1
CTDSPL	2836	3215	2561	2379
MIR26A1	4	2	0	0
VILL	90	126	315	297
PLCD1	2316	1975	2288	2041
DLEC1	33	17	13	8
PPP2R2DP1	0	0	0	0
ACAA1	1645	2344	2587	2345
MYD88	2091	2586	2117	1684
OXSR1	8888	12817	7062	5410
SLC22A13	7	22	16	24
RP11-815I22.1	0	2	0	0
SLC22A14	8	13	16	14
RNU6-235P	0	1	1	0
DLEC1P1	0	0	0	0
XYLB	311	573	485	408
ACVR2B-AS1	61	41	57	40
ACVR2B	1218	1197	621	511
EXOG	1544	1847	1506	1349
DDTP1	16	12	6	2
RPL18AP7	28	15	10	7
SCN5A	53	34	23	18
SCN10A	0	0	0	0
AC116038.2	0	0	0	0
RP11-134J21.1	0	0	0	0
SCN11A	2	3	0	1
AC116038.1	0	0	0	0
RNU6-1227P	0	0	0	0
WDR48	3117	3415	1845	1445
GORASP1	3369	3847	3228	2701
TTC21A	496	407	344	298
CSRNP1	4866	998	929	729
XIRP1	2	0	0	1
DSTNP4	0	0	0	0
CX3CR1	0	2	0	1
RP11-331G2.6	0	0	0	0
CCR8	0	1	0	0
HNRNPA1P21	0	0	0	0
RP11-241K18.2	0	0	0	0
EEF1A1P24	0	1	0	0
SLC25A38	1766	1787	2065	1965
RPSA	108637	118801	129156	131647
SNORA6	0	0	0	0
AC099332.1	0	2	0	0
MOBP	0	0	0	0
NFU1P1	0	0	0	1
MYRIP	13	14	1	4
RNU4-56P	0	0	0	0
RN7SL411P	0	1	0	0
EIF1B	2878	2807	2068	1819
ENTPD3-AS1	136	145	155	161
PGAM1P3	0	0	0	0
ENTPD3	7	3	4	1
RPL14	45989	49531	53324	53212
RP11-391M1.4	99	111	82	68
ZNF619	596	757	376	331
RNU5B-2P	11	10	7	6
ZNF620	194	206	127	102
ZNF621	2950	3224	1291	973
RPL5P10	0	0	0	0
EEF1GP3	5	0	0	0
RP11-528N21.1	2	1	0	0
HMGN2P24	0	0	0	0
RP11-761N21.2	10	14	22	21
RP11-761N21.1	0	0	0	0
RP11-520A21.1	3	2	1	1
RP11-372H2.1	0	0	0	0
CTNNB1	24900	30237	18469	13529
ULK4	363	378	328	296
AC099537.1	0	0	0	0
RN7SKP58	0	0	0	0
ATP6V0E1P2	0	0	6	1
RPL36P20	0	0	0	0
RP11-626A1.1	0	0	0	0
TRAK1	6482	5670	4474	3665
RP11-193I22.2	0	0	0	0
TPMTP2	0	0	1	0
RNU4-78P	5	6	3	5
CCK	0	1	0	2
SALL4P6	0	0	0	0
EIF4BP4	0	0	0	0
LYZL4	1	1	0	0
AC092048.1	0	0	0	0
RP11-219I21.1	0	0	0	0
VIPR1	22	9	13	16
VIPR1-AS1	0	5	1	1
SEC22C	5597	6223	3712	3138
SS18L2	1269	1546	1702	1742
NKTR	14358	15121	7303	5892
RP4-613B23.1	72	70	33	30
ZBTB47	958	1038	1002	815
RN7SL567P	0	0	0	0
KLHL40	0	0	0	0
CCDC13	12	26	24	16
HHATL	0	0	0	0
HHATL-AS1	0	0	0	0
CCDC13-AS1	3	6	7	3
HIGD1A	6489	9374	5859	4496
RP11-70C1.1	4	2	1	1
ACKR2	18	19	12	15
RP11-70C1.3	1	0	0	0
RP11-141M3.5	3	3	0	2
KRBOX1	1	0	0	0
CYP8B1	1	1	0	1
HNRNPA1P22	0	0	0	0
ZNF662	2	0	0	1
KRBOX1-AS1	0	0	0	0
FAM198A	1	3	0	0
RP11-136C24.1	0	0	0	0
POMGNT2	1466	1687	2150	2115
RP11-136C24.2	10	3	3	2
AC104434.1	0	0	0	0
SNRK	1678	1733	716	523
RN7SL517P	0	0	0	0
RP11-188P20.3	6	19	8	7
SNRK-AS1	6	5	0	1
ANO10	2458	3056	2940	2618
RP11-353H3.1	0	0	0	0
ABHD5	810	1230	826	760
RP4-672N11.1	0	0	0	0
RP4-555D20.3	1	13	17	22
RP4-555D20.4	56	29	93	107
RNU6-367P	0	0	0	0
MIR138-1	18	17	12	7
RP4-555D20.2	541	1261	1399	1212
TOPAZ1	0	0	0	0
RP11-424N24.2	2	2	1	2
TCAIM	1475	1529	965	889
LINC00694	0	0	1	0
ZNF445	2615	3492	2208	1803
ZNF852	238	319	191	163
AC099669.1	0	0	0	0
EI24P3	0	0	0	0
ZKSCAN7	348	466	231	168
RP11-944L7.4	22	18	10	5
RP11-944L7.5	0	0	0	0
