NAME	DESCRIPTION	N4_2	N4_3	N4_4	N7_2	N7_3	N7_4	N9_2	N9_3	N9_4
ZNF567	na	492	352	527	628	438	613	563	387	422
VPS33A	na	620	514	704	963	708	987	1042	880	800
SETX	na	3363	2973	4096	6906	5301	6866	6557	5594	5024
TUG1	na	2674	2633	2991	3353	3594	3427	2946	2469	2402
TSC1	na	691	574	763	886	857	985	727	694	595
FAM78A	na	74	87	92	150	146	160	208	207	155
MRPL11	na	1361	1089	1771	2362	1480	2152	2290	1898	1592
GET4	na	445	352	550	770	573	680	666	597	540
EMC9	na	326	245	370	458	374	509	423	403	407
SLFNL1	na	1	0	2	2	5	2	0	1	1
DHPS	na	542	457	671	733	541	701	728	660	563
CAPS	na	18	9	12	17	26	18	17	8	13
SLC32A1	na	0	0	0	0	0	0	0	0	0
PTPN6	na	235	191	296	359	315	309	387	336	277
PALMD	na	1	1	2	1	0	3	0	2	0
MED10	na	299	245	313	433	285	404	399	369	285
ZFAND2B	na	416	349	541	419	331	446	503	417	378
RNF213	na	2896	3296	3372	3836	4978	4340	2834	2671	2258
NFAT5	na	3399	5397	3487	3758	5565	3916	3874	3465	2884
STARD13	na	86	82	88	229	237	220	103	110	79
GADD45GIP1	na	993	757	1157	1318	904	1179	1396	1137	1030
OBSCN	na	413	519	474	482	743	591	344	331	245
BCL2L10	na	0	0	0	2	0	0	1	1	0
NUP107	na	2287	1782	2741	2903	1877	2930	2920	2194	2133
MPPE1	na	288	251	342	476	364	466	529	409	400
MIR4296	na	1	5	10	6	10	6	4	6	4
EDRF1-DT	na	19	23	48	28	31	48	49	35	32
EDRF1	na	978	847	1128	1784	1230	1766	1663	1306	1219
FLNB	na	1795	1661	2117	2809	2937	3180	2542	2239	1944
APOBEC3A_B	na	0	0	2	1	1	2	2	1	1
PDIA6	na	5132	3827	5816	11958	7823	11237	10232	8529	7694
SLC16A7	na	6	6	6	398	469	320	409	365	271
UPF3A	na	409	349	515	632	361	615	573	438	420
AP3S1	na	924	623	1019	1702	1069	1558	1696	1355	1242
SMPD1	na	139	127	162	332	307	286	561	507	466
ZKSCAN5	na	570	476	752	927	731	993	912	702	690
EHD3	na	272	260	376	611	484	662	492	410	381
ARNT	na	1560	1263	1753	2449	1992	2321	2367	1974	1794
FANK1	na	16	12	16	38	48	46	36	26	21
SEPTIN1	na	5	5	4	10	16	6	13	7	7
GLDC	na	833	793	942	1456	1158	1233	1171	1164	882
LRRFIP2	na	721	646	792	1129	732	1111	910	750	707
NDUFC2	na	517	347	524	1209	671	1127	1000	850	773
NRXN3	na	0	0	0	0	1	0	0	0	1
SEC11A	na	1924	1418	2266	3297	1973	3069	2999	2480	2251
WDR76	na	2042	1691	2407	2726	1803	2314	2817	2283	2110
SLC46A1	na	484	411	582	591	500	558	613	574	496
PTPA	na	2224	1856	2834	4334	3404	4563	4639	3910	3546
MDP1	na	25	21	29	35	24	36	40	42	28
RNFT2	na	247	202	297	250	283	323	275	229	231
EIF4G3	na	863	855	969	1409	1499	1493	1182	985	935
ZNF507	na	774	878	877	1267	1260	1339	1157	1057	941
ERCC8	na	292	251	346	446	304	482	422	419	317
MPZL1	na	1993	1603	2270	3211	2395	3099	2888	2397	2181
MYO1D	na	429	396	481	1358	1271	1418	1139	935	798
TCF3	na	1804	1646	2145	2376	2071	2251	2233	2164	1703
ERG	na	0	0	1	1	0	1	1	0	0
TRPT1	na	216	170	266	402	372	361	353	347	325
PLA1A	na	0	0	0	0	0	0	1	0	0
FAM76A	na	220	164	263	388	241	335	305	231	210
C10orf143	na	20	16	17	29	17	30	32	35	14
RGL2	na	0	0	4	1	0	2	15	1	0
CTAGE7P	na	0	1	0	0	0	0	1	1	0
COPS4	na	893	700	1152	1215	704	1142	1371	1117	1039
ATF5	na	308	237	302	323	162	283	227	204	188
VWA2	na	1	1	0	3	0	2	1	0	0
LINC01164	na	0	0	0	1	0	4	0	0	2
DCLK1	na	2	2	5	5	2	6	0	0	2
CLCNKB	na	0	0	0	0	1	0	0	0	0
KLHL26	na	235	216	246	255	252	214	264	263	177
SLC30A8	na	1	0	6	4	1	3	0	1	0
RIBC1	na	42	43	88	34	30	33	59	61	69
GTDC1	na	439	376	477	481	411	502	471	401	383
STK32C	na	225	210	315	319	257	390	322	305	286
CTNNB1	na	8388	6916	10144	11713	8153	11442	9319	7533	6973
C14orf93	na	101	71	150	190	156	179	240	177	148
TKT	na	3791	3242	4543	8590	7639	9586	7868	6969	5816
MRPL23	na	309	138	170	360	177	182	198	173	218
TRIR	na	1740	1261	2040	2210	1237	1636	2404	1978	1735
C1orf116	na	0	3	1	2	3	3	0	0	0
FRS3	na	57	50	72	62	77	74	54	65	49
DNA2	na	1516	1354	1820	1550	1083	1487	2070	1657	1553
CTSA	na	687	612	765	1367	1185	1407	1402	1199	1035
FBXL15	na	128	135	181	288	186	263	331	283	220
HKDC1	na	1	1	5	5	0	3	2	1	0
TYMP	na	8	3	5	12	13	6	25	21	10
RBM42	na	774	610	879	1214	820	1110	1132	1043	838
TTC17	na	1278	1138	1520	1811	1273	1928	1829	1315	1349
MBD3	na	882	760	1179	1623	1122	1595	1520	1259	1198
PKIG	na	159	115	197	478	363	378	656	594	535
CDKL3	na	53	39	73	50	38	82	70	63	65
MIR202HG	na	0	0	0	0	0	0	0	0	0
LRATD1	na	1	1	5	0	0	0	0	0	0
NLGN3	na	67	65	74	71	68	60	58	54	57
UBA5	na	760	632	823	1185	979	1156	1134	980	846
TUBGCP2	na	851	727	998	1374	1301	1551	1392	1338	1136
MTHFSD	na	232	227	293	395	391	448	381	375	368
NAA60	na	248	247	275	394	418	428	310	330	281
AAK1	na	588	837	644	1287	1887	1426	1071	895	790
MYO16	na	0	0	0	1	1	1	1	2	2
MIR3944	na	1	0	0	4	2	2	3	1	1
SCART1	na	100	136	70	108	193	118	99	118	84
KCNE1	na	2	1	0	25	25	30	52	41	51
BUB1	na	2921	2371	3679	2830	2248	3036	2749	2423	2117
AGPAT1	na	36	47	56	67	50	62	73	70	74
SLCO4A1	na	395	302	374	1419	1196	1295	1380	1446	975
HMG20A	na	763	646	942	1037	768	999	1097	1009	852
AMZ1	na	1	0	0	0	0	0	1	0	2
CMTM2	na	1	2	5	4	11	3	7	6	8
GLI1	na	15	9	12	209	171	128	39	45	25
LINC01001	na	6	7	9	20	18	16	9	12	12
ZNF318	na	387	380	473	1007	1000	1055	923	800	715
TSNAX	na	738	511	919	1145	664	1136	1090	856	802
ITPA	na	705	557	820	1089	750	1082	1210	1002	956
S100A1	na	110	84	88	398	450	462	1241	1098	910
BTN2A1	na	544	475	595	708	583	766	652	550	523
PPME1	na	727	640	907	1186	961	1080	1157	1038	860
BACE1	na	192	171	256	526	485	559	577	506	454
LAS1L	na	1094	853	1265	1546	1026	1558	1561	1385	1149
ZNF664	na	3001	2549	3283	4165	3392	4195	4091	3461	3164
ARHGAP42	na	56	62	84	38	29	41	12	13	7
NAXE	na	2220	1897	2778	3426	2472	3507	3390	2906	2630
NDUFAF7	na	477	452	615	861	630	831	782	630	619
PTDSS2	na	34	83	36	64	57	36	66	54	65
ESPN	na	17	14	4	112	153	185	47	64	55
TSPAN6	na	296	265	432	594	432	515	531	434	414
SPANXC	na	0	0	0	0	1	0	0	0	0
HOXC8	na	134	168	169	102	115	112	84	62	49
ZBTB4	na	694	658	791	1037	1121	1054	927	943	740
EMSY	na	396	442	469	439	542	490	423	398	307
UAP1L1	na	161	153	167	355	347	371	351	283	242
PDE1B	na	0	0	1	0	0	0	0	0	0
MIR210HG	na	10	8	10	13	76	13	6	6	11
LOC143666	na	5	4	10	23	28	26	24	17	16
FCHO2	na	284	279	349	482	409	463	383	334	272
ATF7-NPFF	na	0	0	0	0	0	1	0	1	0
MRPL49	na	1026	842	1366	1494	944	1428	1429	1190	1114
TFIP11	na	342	295	445	482	347	491	503	391	377
DDX59	na	461	422	583	754	484	753	794	552	624
SIRT1	na	697	582	757	843	602	774	905	710	701
ANO1	na	62	99	95	0	0	2	2	0	0
CRIP2	na	1151	980	1385	2004	1354	1704	1478	1216	1056
LOC171391	na	78	72	117	90	61	106	75	99	87
HLA-B	na	278	216	343	1013	747	943	1601	1381	1209
MAF	na	0	1	1	1	0	0	0	0	0
HPN	na	0	0	0	2	2	1	0	1	1
ZNF586	na	501	372	547	565	430	558	633	520	493
RER1	na	1208	957	1433	2067	1351	2058	1975	1711	1438
SNORA52	na	146	138	235	485	296	783	491	352	308
CRACR2B	na	318	245	354	1025	817	913	869	771	582
GPR22	na	0	0	0	0	0	0	1	0	1
HNRNPH3	na	2315	1767	2012	3272	1892	2804	2860	2436	2214
KIAA1549L	na	0	8	6	0	0	3	1	0	1
GTF3C4	na	1735	1511	1927	2787	2250	2924	2700	2112	1840
GFY	na	13	21	8	22	101	31	16	11	15
NDUFS8	na	840	705	1074	1414	1117	1393	1425	1211	1093
ZDHHC6	na	385	376	430	549	437	497	577	520	406
CDC14B	na	227	214	254	431	298	344	320	280	253
SLC18A3	na	0	0	0	0	0	1	0	0	0
RPS6KA1	na	522	428	569	1237	1113	1279	1210	1018	848
FUCA1	na	270	185	317	372	263	352	463	333	317
FTL	na	12850	11692	18458	7819	5646	7082	14659	12677	10539
C3orf86	na	0	0	0	0	0	0	0	0	1
AKR1B15	na	0	0	1	0	0	0	0	0	0
TOLLIP-AS1	na	8	9	23	20	21	22	14	15	15
ZFP36L2	na	279	283	282	293	283	251	323	286	230
ATP5F1E	na	812	516	893	1216	497	1263	1272	1069	970
BRSK2	na	89	79	99	233	251	258	211	243	167
ZNF429	na	219	176	247	252	199	316	295	213	227
CMPK1	na	1808	1406	2028	2952	1928	2758	2919	2320	2120
SYPL2	na	52	61	54	192	221	192	179	198	159
UBE2E2	na	331	338	408	500	429	467	548	468	418
SYNDIG1	na	1	2	3	29	15	4	0	0	0
EGR1	na	183	176	198	213	255	262	329	430	277
CLPX	na	1090	891	1265	1628	1214	1629	1725	1545	1354
NREP	na	555	419	564	530	526	476	5	2	7
ERGIC1	na	1079	884	1255	2433	1617	2409	2111	1858	1556
CD59	na	1538	1303	1842	2632	1673	2612	2371	1904	1733
CCDC152	na	0	1	0	0	0	0	0	0	1
IGSF8	na	293	232	294	381	315	419	352	327	285
PICALM	na	2260	1846	2568	2836	2218	2672	2709	2139	2041
SLIRP	na	1941	1365	2243	2820	1440	2761	2944	2463	2183
GFRA2	na	0	0	1	0	0	0	0	0	0
STK25	na	1833	1586	2304	2571	2250	2797	2498	2289	1897
KIAA0319	na	167	183	226	342	284	349	272	203	219
SNORD131	na	1	0	1	0	1	4	3	1	1
TRMT2A	na	718	570	866	1119	816	1118	1246	1138	920
JAK2	na	458	455	563	673	460	499	742	613	578
ARMC12	na	24	22	33	36	25	37	28	17	16
USP14	na	1074	1830	934	1491	3105	1483	1341	1198	835
RPS10	na	138	67	124	257	123	245	212	190	154
SOGA1	na	860	1253	955	1122	1930	1341	1065	1056	850
CD81-AS1	na	0	0	1	5	7	5	3	2	5
FOXP1	na	16	7	11	7	8	11	5	6	7
RNF103	na	537	426	585	646	477	576	542	451	394
GBAP1	na	8	14	14	32	21	20	21	20	19
SERTAD1	na	356	270	450	473	285	461	606	560	476
FAM167B	na	9	14	14	32	55	38	20	26	28
TTYH2	na	204	196	247	466	428	483	377	304	257
SNORA54	na	0	0	0	0	0	0	0	0	1
RPS15A	na	8435	6189	10215	12519	6931	11927	11322	8517	8163
AP2B1	na	3167	3497	3541	5185	5957	5163	5032	4270	3915
GNB2	na	1398	1338	1625	2896	2756	2767	2365	1989	1737
FBN3	na	0	1	2	1	7	6	1	1	0
FENDRR	na	0	0	0	0	0	0	0	0	0
SRSF6	na	3295	2635	3444	4466	2856	3970	4339	3420	3037
MRGPRG-AS1	na	0	0	0	0	1	0	0	0	0
TUT4	na	1151	1127	1307	1452	1396	1463	1391	1161	1164
KHDRBS1	na	2964	3067	3072	4587	4771	4385	4086	3421	2895
TSSC2	na	0	0	0	1	0	1	2	1	1
LOC101927708	na	0	0	1	0	0	0	0	0	0
TAPBPL	na	106	117	136	249	189	253	257	217	224
ZDHHC3	na	845	906	1026	1705	1491	1655	1449	1257	1071
FER	na	161	151	197	262	206	259	210	155	153
DCLRE1C	na	502	421	648	752	533	740	626	553	494
TOM1	na	234	183	282	335	293	349	356	307	304
COMMD4	na	1144	930	1450	1888	1252	1961	1835	1492	1391
CLTA	na	1814	1460	2095	3266	1981	3004	3101	2435	2311
ZNF346	na	443	388	523	666	558	675	641	573	461
DDX4	na	0	0	1	2	0	1	2	0	2
LBR	na	1985	1687	2349	3569	2544	3543	3187	2529	2338
PRICKLE3	na	199	206	239	273	307	316	302	271	210
COPZ1	na	1511	1234	1856	2824	1965	2671	2523	2199	2050
SCAMP1	na	766	627	944	1255	944	1283	1288	1201	999
MYO15A	na	3	7	3	18	24	13	23	10	12
CNOT1	na	10221	10504	11249	15058	15620	14914	14425	12024	10556
MYO9B	na	906	887	1111	1641	1792	1714	1409	1361	1056
SNORD110	na	37	27	34	71	38	84	73	46	39
SNORD99	na	43	35	43	52	28	78	75	54	74
SNORD45C	na	41	27	49	80	70	84	63	58	50
MAFF	na	118	72	148	171	89	175	144	132	127
HBBP1	na	0	0	0	0	0	0	0	0	0
OLFM5P	na	0	1	0	1	0	1	0	0	2
NKAPD1	na	608	465	610	829	560	819	813	692	702
NAIF1	na	183	116	223	271	211	264	219	230	168
TRIM34	na	0	1	1	1	0	1	0	0	0
GLRB	na	12	8	20	154	133	151	211	192	177
GSG1L	na	0	0	0	0	0	0	1	0	0
ATP5F1A	na	5293	4234	6598	8433	5560	8130	8877	6987	6583
PDE3B	na	698	714	874	1230	764	1171	1257	1003	946
SHROOM2	na	56	63	51	38	73	47	82	67	65
CNOT8	na	893	711	1117	1457	1128	1481	1330	1104	1003
LMBR1L	na	165	132	173	198	156	189	163	150	134
CIZ1	na	874	840	955	1555	1581	1558	1409	1158	1066
GBA	na	76	1	151	4	231	391	123	96	228
ZNF219	na	333	292	393	162	122	123	106	105	85
TNFAIP2	na	34	25	25	108	95	117	220	175	174
SNORD76	na	144	141	192	165	106	206	156	151	126
DUS4L-BCAP29	na	36	27	53	36	21	30	45	40	40
CENPN	na	2057	1596	2416	3269	1837	3227	3325	2739	2614
MXI1	na	90	94	135	86	104	97	80	82	62
CRISP3	na	0	0	0	0	0	0	1	0	0
NEDD1	na	1568	1130	1615	2257	1441	2032	1969	1714	1487
CSNK2B	na	0	0	1	0	0	0	0	3	1
KANK2	na	927	840	1120	1438	1099	1269	1185	861	778
GVINP1	na	37	59	50	57	64	73	70	63	56
PDE10A	na	3	5	9	0	1	3	0	0	0
SORBS2	na	0	0	1	0	1	2	0	0	0
BLM	na	750	639	909	997	700	889	1001	809	714
SETDB2	na	36	32	30	43	39	61	61	35	36
LOC100506258	na	3	2	1	4	8	4	3	2	1
ANKAR	na	229	272	307	204	169	212	178	165	164
CXorf56	na	478	370	589	729	407	647	931	748	659
KIFBP	na	880	703	1015	1386	947	1293	1325	1094	1040
ATG10	na	201	152	240	260	151	207	272	218	194
C2orf15	na	161	129	195	174	121	174	184	103	128
TEKT4	na	0	1	0	0	1	1	1	0	1
PWWP3B	na	33	27	28	24	47	33	14	29	45
WSB1	na	2579	2189	3044	2770	2399	2617	2629	1967	1926
TNK2-AS1	na	15	17	25	19	17	24	9	18	19
UBR2	na	1081	891	1320	1633	1255	1634	1549	1333	1202
BCAR3	na	53	45	41	224	113	134	65	57	44
PKN2	na	2256	2017	2564	2980	2283	2738	2885	2406	2168
DMAC2L	na	327	250	360	542	313	506	500	359	393
BANP	na	223	209	299	321	311	360	383	365	317
NOL9	na	2138	1922	2611	3172	2134	3322	3344	2667	2546
COPRS	na	595	494	781	1297	719	1145	1471	1149	1074
CHD7	na	964	1139	1101	504	439	432	1106	1193	930
HORMAD1	na	1	0	0	0	0	0	0	0	0
HPSE	na	142	129	169	189	139	151	140	102	97
KLHL5	na	857	734	1031	1564	1165	1283	1431	1112	1026
ZIC4	na	0	0	1	5	2	1	1	2	5
SNORA3A	na	104	73	125	147	75	150	145	113	93
SNORA3B	na	51	43	55	75	49	97	71	70	44
FAM122B	na	363	507	403	497	805	533	485	452	322
HADHB	na	1755	1434	2274	3024	2216	3027	2979	2358	2405
CYP4F12	na	0	0	0	0	0	0	0	0	1
IQCK	na	190	160	214	325	239	319	280	227	171
BTN3A3	na	60	65	79	116	112	131	168	128	102
TMEM9B	na	377	281	442	643	354	541	758	605	573
TMEM9B-AS1	na	22	13	28	22	19	28	28	19	28
CST6	na	0	0	0	0	0	2	1	0	1
CYP51A1	na	1551	1212	1984	2683	1677	2573	2625	2080	1881
IL20RA	na	63	60	93	133	108	137	205	156	177
PCYOX1	na	590	437	661	1732	1248	1654	1585	1153	1094
SS18L2	na	312	222	377	562	280	525	491	403	360
RSL24D1	na	1725	1252	1887	2432	1334	2250	2562	2164	1985
BIN2	na	1	0	0	0	0	0	3	1	0
LOC402096	na	0	1	3	0	1	0	0	0	1
ITGA6-AS1	na	0	0	0	0	1	1	1	0	1
SFXN3	na	70	45	49	448	433	391	376	320	285
SNORA23	na	186	161	306	317	253	488	377	261	257
LOC644656	na	60	50	103	90	74	95	66	78	71
PYROXD1	na	414	308	453	645	402	628	734	566	536
PATL2	na	8	6	10	12	19	14	27	23	19
TAF12	na	415	301	500	494	331	455	450	382	405
PASD1	na	0	0	0	0	0	0	0	0	1
MIEF2	na	225	155	240	355	333	365	328	273	257
SYT12	na	6	2	5	3	5	0	4	0	0
LOC101928008	na	22	15	35	0	0	0	0	0	0
CAND1.11	na	29	13	16	5	7	8	3	5	0
STX2	na	437	397	496	892	571	809	585	452	467
CHPF	na	770	697	888	1302	1049	1150	1265	1039	900
RNA28SN5	na	392	301	23	57	63	20	55	31	35
MIR9-1	na	0	0	0	0	0	0	1	0	0
NBL1	na	2	3	5	6	6	2	1	3	4
AKT1S1	na	512	439	544	833	608	753	612	595	509
PGAP3	na	252	196	264	326	245	329	297	286	224
ZUP1	na	309	302	418	437	343	426	479	358	354
ENG	na	0	0	0	0	1	0	0	0	0
PRDM11	na	33	44	42	117	114	149	81	78	64
NTN3	na	10	10	6	23	24	29	42	25	18
NTF4	na	50	45	66	59	80	63	65	59	50
NRL	na	19	13	18	40	24	35	41	28	35
RIOK3	na	823	585	805	852	593	737	1049	916	826
DYTN	na	0	0	0	1	0	0	0	0	0
STAG2	na	2519	1867	2703	3810	2762	3389	6788	5617	5229
SNORD97	na	360	267	443	501	318	677	393	259	269
LOC101928053	na	15	14	20	20	16	15	33	20	26
ZBED5-AS1	na	135	100	146	204	168	174	196	144	124
CABIN1	na	615	681	799	1092	1232	1186	1001	902	785
PCDHGA11	na	27	37	30	27	45	43	23	19	29
MIR8070	na	0	0	0	1	0	0	0	0	0
ATP2B3	na	0	0	1	0	0	1	1	1	1
MCF2L	na	21	24	32	494	487	451	163	141	119
DKC1	na	2438	1866	2728	3669	2157	3663	3765	3062	2645
ZFP64	na	290	278	350	442	380	491	370	293	267
RAB5IF	na	155	92	172	230	98	114	185	169	143
PDCD4	na	192	136	253	339	264	319	366	307	306
G6PC3	na	415	408	498	825	858	841	855	700	649
KCTD15	na	331	281	404	431	242	427	383	265	234
ZNF266	na	484	420	526	910	687	843	886	611	631
TDRD12	na	3	4	1	1	9	7	2	1	2
EIF4ENIF1	na	479	445	532	704	575	721	688	557	525
CCDC177	na	4	3	4	6	6	6	0	3	2
VMP1	na	6325	5570	8344	3350	2517	3466	3288	2898	2721
HLF	na	80	86	93	101	76	96	158	108	95
LRRTM4	na	0	0	0	0	0	0	0	1	0
SLC6A12	na	7	3	2	220	244	204	86	77	48
DPH2	na	601	447	671	976	528	1008	1093	891	773
RAP1B	na	1371	990	1464	2296	1381	2065	2213	1845	1688
CACNG5	na	0	0	0	0	1	0	1	0	0
SERPINF2	na	1	0	1	1	0	1	0	0	0
ADAM8	na	75	58	55	124	154	112	63	61	51
DDX19B	na	693	591	845	876	659	826	773	669	602
LDB1	na	1638	1446	1989	1810	1465	1797	2134	1811	1628
KIAA0100	na	3282	3128	3813	6597	5890	7423	6023	5243	4632
PPARD	na	173	184	158	360	478	387	267	238	250
DUSP4	na	34	30	39	603	334	655	799	742	630
TP53BP1	na	1583	1455	1785	1532	1438	1476	1518	1253	1175
AIP	na	407	307	565	733	512	740	558	553	452
SLC16A1	na	3616	3024	4172	4793	2796	4693	4450	3667	3187
SLC25A25	na	512	438	713	1119	904	1177	1211	1082	995
ROPN1B	na	1	0	0	1	0	2	1	3	0
ZNF189	na	774	676	902	967	769	970	945	758	700
LINC02609	na	66	74	80	59	79	63	73	56	67
HDAC6	na	500	448	589	942	771	897	598	474	440
MIR27B	na	3	2	2	11	11	18	7	2	2
MIR15B	na	2	5	3	9	11	13	11	6	6
MIR222	na	4	3	2	6	1	4	2	6	4
MIRLET7I	na	7	16	20	34	16	28	27	22	27
MIR942	na	2	5	3	4	2	3	4	6	2
BTBD10	na	693	583	877	923	593	892	998	823	755
CGB2	na	0	0	0	0	0	0	0	1	0
FLT1	na	1	1	3	2	1	1	0	0	2
SBSN	na	1	2	1	4	4	2	1	1	6
TNFRSF17	na	0	0	0	1	2	3	0	0	0
GRAMD2B	na	0	0	0	1	0	1	2	0	0
BRF1	na	530	518	655	1010	874	999	884	805	708
EMC6	na	446	320	498	664	329	528	703	573	508
INSC	na	0	2	0	0	0	1	0	0	0
ADGRG6	na	318	281	355	618	555	649	744	759	637
ASGR1	na	10	15	12	19	25	26	20	18	16
DAAM1	na	130	126	154	234	234	223	186	142	150
ZNF557	na	845	656	977	1150	702	1136	1242	918	858
CNIH4	na	622	488	769	1278	724	1084	1197	1006	837
GABRB1	na	0	0	1	0	0	0	0	0	1
LGALSL	na	289	227	339	592	413	586	499	428	376
SNORD147	na	1	1	0	0	0	0	0	0	0
OR7E14P	na	5	9	4	1	2	0	2	0	1
SNORD14A	na	44	23	35	68	25	52	58	35	41
SNORD14B	na	126	76	141	150	69	137	124	100	81
RAB3C	na	2	1	4	1	2	1	1	0	0
XRCC4	na	251	161	328	338	209	261	344	275	233
AHCYL1	na	1333	1142	1510	3869	3055	3429	2631	2375	1992
PRUNE2	na	76	94	91	324	379	313	7	5	18
RNF24	na	118	114	130	320	392	326	286	316	248
EOMES	na	31	51	35	20	17	17	15	10	5
PARP8	na	50	29	50	337	356	301	447	359	327
RAD23A	na	1114	941	1287	1894	1612	1827	2040	1870	1555
FST	na	3	2	3	0	0	0	1	0	0
ARMC2	na	50	53	47	76	67	95	58	58	44
CRB2	na	0	0	0	2	1	0	0	0	0
ROPN1	na	0	0	0	0	0	0	1	0	0
EFCAB5	na	7	7	7	7	8	6	6	10	7
MIR193BHG	na	27	23	32	55	43	51	29	26	27
SBF2-AS1	na	147	88	164	119	116	109	156	162	131
SZRD1	na	1949	1587	2220	3126	2326	3079	3322	2847	2430
ZFP91	na	1799	1497	1967	3193	2085	2715	2922	2652	2193
BICD1	na	155	203	153	155	184	180	172	158	125
PCOLCE	na	782	704	820	2242	2374	2456	1721	1680	1243
PCNA	na	3587	2611	3828	5132	3163	4587	5333	4199	3659
PDE6D	na	384	299	463	238	202	250	237	237	205
INO80C	na	39	27	31	35	24	35	47	31	36
ZNF543	na	406	300	471	610	417	646	518	432	434
C2orf66	na	2	4	10	1	3	4	2	1	2
PTPRE	na	108	104	160	157	123	166	156	137	129
MACROD2	na	3	6	4	6	13	5	9	13	5
AUNIP	na	660	550	830	845	449	720	850	661	663
MIR3159	na	0	0	0	1	0	0	0	0	0
ZNF566	na	313	254	398	337	256	385	380	349	314
ZDHHC13	na	302	261	410	566	407	507	409	348	328
EEA1	na	1387	1473	1629	1840	1472	1798	1756	1336	1267
CPSF2	na	3109	2568	3584	4412	3140	4306	4528	3717	3584
ZC3H12B	na	18	15	17	62	70	53	69	54	35
GNG7	na	73	53	70	55	77	61	48	53	41
CCDC97	na	252	226	239	330	380	347	311	322	287
GABRB3	na	5	0	8	0	0	2	0	0	0
IGSF22	na	0	0	0	0	0	0	0	0	0
ARHGAP31	na	10	10	15	116	103	113	76	84	89
ATAD1	na	1039	888	1136	1691	1127	1593	1728	1362	1237
ADAM15	na	1616	1374	1818	3374	2760	3312	3835	3357	2827
SFRP1	na	206	224	277	133	111	132	8	16	14
REV3L	na	2291	2535	2593	3559	2937	3537	3413	2490	2462
TP53I13	na	379	321	437	611	462	534	528	497	377
LOC100126784	na	7	1	2	3	5	3	4	2	2
TRAM1L1	na	109	80	137	186	107	168	181	153	145
H2BU1	na	2862	2301	3850	3631	2155	3511	3279	2769	2288
ADNP	na	1433	1935	1336	1903	3302	1944	1810	1560	1280
MAPK12	na	1474	1443	1569	2955	2569	2575	2684	2242	1798
HPF1	na	651	464	693	698	461	654	798	639	601
NAV2-AS2	na	1	2	0	2	2	2	1	1	0
SPARCL1	na	0	0	0	2	0	1	0	0	0
MORC3	na	621	504	759	793	489	733	691	562	525
NXT2	na	346	275	454	504	271	441	447	360	325
FRS2	na	697	645	785	977	845	1021	867	680	633
UVSSA	na	332	401	329	632	834	628	471	395	365
MRPS14	na	673	578	929	890	591	916	1503	1229	1159
METRNL	na	2	3	8	3	0	0	1	5	2
PXT1	na	7	3	4	1	1	7	2	4	0
CHRNG	na	0	0	0	1	0	0	1	0	0
ZNF236	na	361	311	367	525	552	560	485	484	342
SVIP	na	515	387	584	503	292	459	694	601	534
DMXL2	na	2205	2187	2513	2376	2205	2320	3173	2649	2407
ANO3	na	74	32	19	182	174	171	1026	1018	785
ANO3-AS1	na	0	0	0	0	3	0	14	17	10
SLC12A8	na	4	1	1	3	0	2	1	3	0
GLG1	na	3305	3078	3774	5247	4843	5328	4599	3856	3485
TRPC4AP	na	1583	1341	1894	2279	1797	2295	2287	1932	1740
BBOX1-AS1	na	1	0	0	0	0	0	0	0	0
UBE3C	na	2457	2099	2759	2301	1605	2226	3837	3023	2864
PWWP3A	na	980	880	1202	1362	1212	1441	1246	1139	1012
FBXO8	na	185	109	202	305	222	240	338	263	240
FZD4	na	154	150	157	362	307	335	411	389	311
RAB7B	na	76	77	97	33	57	48	82	80	85
CYP39A1	na	77	56	91	51	55	70	50	50	46
TBX3	na	21	22	35	0	0	0	0	1	0
DCDC1	na	13	14	13	9	12	16	7	10	13
ZNF385B	na	37	45	38	16	17	10	56	38	45
EIF5A	na	7741	6104	9157	14375	8882	13524	14732	12727	10489
SPSB3	na	164	110	180	169	101	191	122	123	97
ACSF3	na	395	358	422	758	754	837	703	606	493
LOC100506675	na	0	0	1	0	0	0	0	1	0
LTF	na	0	0	0	6	1	3	1	0	0
SOCS6	na	443	376	571	482	342	492	503	457	380
ATP6V1F	na	728	592	929	490	376	475	1146	1008	952
RUFY1	na	594	552	751	703	526	767	709	596	535
MTRES1	na	211	155	272	307	190	326	340	291	237
ARL16	na	373	304	447	707	464	790	717	558	504
AKAP17A	na	16	11	3	16	8	0	3	9	3
CCDC40	na	41	36	52	49	56	76	52	63	46
LINC00294	na	108	101	125	200	150	188	179	131	148
CSTF3-DT	na	24	17	26	19	11	18	20	25	16
PPP2R1B	na	1436	1162	1580	1518	1049	1421	1860	1470	1439
SLC39A5	na	6	2	1	5	3	3	3	0	1
NFATC2	na	0	2	1	1	0	0	2	3	1
CCDC74B	na	125	90	122	330	234	268	315	209	192
NRAP	na	0	0	0	0	0	0	0	0	0
FBXO3-DT	na	0	0	0	1	0	0	0	0	0
RAD51B	na	126	150	170	151	143	167	165	147	133
TOMM7	na	1596	1126	2032	2482	1348	2580	2810	2216	2121
DAZAP1	na	1564	1253	1861	2927	2023	2555	2470	2030	1809
SND1	na	2256	1856	2508	4226	3225	3994	3350	3000	2569
STEAP1	na	8	5	7	36	27	33	94	92	72
